time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,core,port
1.000,16042339,16279624.63,16074170.68,0,0.00,0.00,1,0
1.500,0,0.00,0.00,3378003,5335787.08,2252108.73,2,0
2.000,32119477,16175424.73,16075553.39,0,0.00,0.00,1,0
2.500,0,0.00,0.00,5646209,8510639.78,2258547.65,2,0
3.000,48200709,16195901.59,16077731.57,0,0.00,0.00,1,0
3.500,0,0.00,0.00,7915922,4761904.42,2261738.20,2,0
4.000,64281941,16129540.61,16078469.09,0,0.00,0.00,1,0
4.500,0,0.00,0.00,10184230,3488372.09,2263198.17,2,0
5.000,80359079,16037292.38,16078485.77,0,0.00,0.00,1,0
5.500,0,0.00,0.00,12453371,645304.90,2264278.45,2,0
6.000,96442358,16013455.39,16078976.90,0,0.00,0.00,1,0
6.500,0,0.00,0.00,14722332,645161.30,2264998.85,2,0
7.000,112519496,16256353.26,16078865.03,0,0.00,0.00,1,0
7.500,0,0.00,0.00,16984035,2858551.00,2264559.48,2,0
8.000,128602775,16096563.65,16079447.25,0,0.00,0.00,1,0
8.500,0,0.00,0.00,19254589,7575758.09,2265264.82,2,0
9.000,144681960,16186936.60,16079492.54,0,0.00,0.00,1,0
9.500,0,0.00,0.00,21524375,821917.80,2265740.46,2,0
10.000,160759098,15964748.11,16079158.14,0,0.00,0.00,1,0
10.500,0,0.00,0.00,23793834,2857143.37,2266094.79,2,0
11.000,176836236,16010950.32,16078969.01,0,0.00,0.00,1,0
11.500,0,0.00,0.00,26063042,1818182.25,2266365.59,2,0
12.000,192917468,16047350.27,16079142.33,0,0.00,0.00,1,0
12.500,0,0.00,0.00,28332919,1853035.57,2266646.45,2,0
13.000,208996653,16151175.63,16079175.98,0,0.00,0.00,1,0
13.500,0,0.00,0.00,30603386,250626.57,2266929.50,2,0
14.000,225079932,16139714.58,16079527.60,0,0.00,0.00,1,0
14.500,0,0.00,0.00,32872982,4615384.99,2267113.36,2,0
15.000,241165258,16165205.71,16079804.95,0,0.00,0.00,1,0
15.500,0,0.00,0.00,35141653,1219512.24,2267213.71,2,0
16.000,257248537,16210009.49,16080065.04,0,0.00,0.00,1,0
16.500,0,0.00,0.00,37410750,3246753.31,2267327.94,2,0
17.000,273317487,15988440.20,16079461.93,0,0.00,0.00,1,0
17.500,0,0.00,0.00,39677014,1438848.96,2267266.93,2,0
18.000,289398719,16044834.61,16079491.09,0,0.00,0.00,1,0
18.500,0,0.00,0.00,41950125,2259887.10,2267582.91,2,0
19.000,305475857,16174146.66,16079345.20,0,0.00,0.00,1,0
19.500,0,0.00,0.00,44224835,3553299.75,2267948.45,2,0
20.000,321550948,16022229.16,16079195.74,0,0.00,0.00,1,0
20.500,0,0.00,0.00,46497338,641025.60,2268170.73,2,0
21.000,337632180,16081388.97,16079259.30,0,0.00,0.00,1,0
21.500,0,0.00,0.00,48772332,5617978.09,2268488.12,2,0
22.000,353717506,16013455.36,16079506.85,0,0.00,0.00,1,0
22.500,0,0.00,0.00,51046372,2590673.81,2268734.73,2,0
23.000,369794644,16000937.99,16079395.70,0,0.00,0.00,1,0
