time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,core,port
1.000,15780323,15832624.33,15851533.80,0,0.00,0.00,1,0
1.500,0,0.00,0.00,1600488,1754385.97,1067043.54,2,0
2.000,31628197,15770416.03,15849314.89,0,0.00,0.00,1,0
2.500,0,0.00,0.00,2682933,1123740.65,1073203.35,2,0
3.000,47471977,15843653.25,15847606.91,0,0.00,0.00,1,0
3.500,0,0.00,0.00,3765456,1960784.29,1075866.97,2,0
4.000,63315757,15882991.93,15846703.01,0,0.00,0.00,1,0
4.500,0,0.00,0.00,4850247,649350.66,1077850.09,2,0
5.000,79159537,15873138.96,15846019.55,0,0.00,0.00,1,0
5.500,0,0.00,0.00,5934262,641025.62,1078970.79,2,0
6.000,95001270,15839975.24,15845395.19,0,0.00,0.00,1,0
6.500,0,0.00,0.00,7019450,103202.85,1079925.91,2,0
7.000,110840956,15964748.09,15844630.28,0,0.00,0.00,1,0
7.500,0,0.00,0.00,8103778,632911.39,1080514.13,2,0
8.000,126678595,15819165.38,15843644.75,0,0.00,0.00,1,0
8.500,0,0.00,0.00,9180256,1351351.42,1080039.32,2,0
9.000,142516234,15838749.62,15843040.75,0,0.00,0.00,1,0
9.500,0,0.00,0.00,10237725,1132075.47,1077663.49,2,0
10.000,158353873,15786226.58,15842437.98,0,0.00,0.00,1,0
10.500,0,0.00,0.00,11295901,1119402.98,1075807.36,2,0
11.000,174189465,15859611.07,15841824.84,0,0.00,0.00,1,0
11.500,0,0.00,0.00,12355955,625000.01,1074437.57,2,0
12.000,190027104,15993436.99,15841482.76,0,0.00,0.00,1,0
12.500,0,0.00,0.00,13416099,3508771.95,1073294.14,2,0
13.000,205864743,15957280.95,15841199.76,0,0.00,0.00,1,0
13.500,0,0.00,0.00,14475318,1234567.92,1072251.55,2,0
14.000,221700335,15809391.41,15840798.27,0,0.00,0.00,1,0
14.500,0,0.00,0.00,15535082,632911.39,1071390.28,2,0
15.000,237535927,15931200.87,15840432.81,0,0.00,0.00,1,0
15.500,0,0.00,0.00,16593795,1265822.78,1070572.38,2,0
16.000,253369472,15901499.26,15840031.42,0,0.00,0.00,1,0
16.500,0,0.00,0.00,17655094,653594.79,1070010.35,2,0
17.000,269203017,15842427.06,15839665.36,0,0.00,0.00,1,0
17.500,0,0.00,0.00,18715113,383141.76,1069439.47,2,0
18.000,285040656,15886689.95,15839565.89,0,0.00,0.00,1,0
18.500,0,0.00,0.00,19774410,628930.84,1068891.18,2,0
19.000,300878295,15820387.98,15839438.26,0,0.00,0.00,1,0
19.500,0,0.00,0.00,20820522,636942.68,1067723.01,2,0
20.000,316711840,15946093.33,15839158.20,0,0.00,0.00,1,0
20.500,0,0.00,0.00,21871957,1242236.05,1066928.51,2,0
21.000,332545385,15707489.26,15838888.19,0,0.00,0.00,1,0
21.500,0,0.00,0.00,22923963,228832.95,1066234.39,2,0
22.000,348380977,15899029.13,15838734.94,0,0.00,0.00,1,0
22.500,0,0.00,0.00,23974507,549450.55,1065537.03,2,0
23.000,364214522,15714724.40,15838528.86,0,0.00,0.00,1,0
23.500,0,0.00,0.00,25025724,306122.45,1064927.52,2,0
24.000,380050114,15731632.34,15838386.22,0,0.00,0.00,1,0
24.500,0,0.00,0.00,26079775,2395209.56,1064483.72,2,0
25.000,395883659,15846106.21,15838229.39,0,0.00,0.00,1,0
25.500,0,0.00,0.00,27133030,1898734.17,1064043.43,2,0
26.000,411719251,15788661.79,15838121.04,0,0.00,0.00,1,0
26.500,0,0.00,0.00,28186043,206185.57,1063627.00,2,0
27.000,427556890,15824056.90,15838094.14,0,0.00,0.00,1,0
27.500,0,0.00,0.00,29239942,1796407.17,1063273.38,2,0
28.000,443392482,15886689.95,15837968.31,0,0.00,0.00,1,0
28.500,0,0.00,0.00,30292686,1807228.91,1062903.93,2,0
29.000,459230121,15820387.98,15837964.75,0,0.00,0.00,1,0
29.500,0,0.00,0.00,31358780,1265822.78,1063012.09,2,0
30.000,475065713,15802068.86,15837870.23,0,0.00,0.00,1,0
30.500,0,0.00,0.00,32435295,1249999.99,1063454.80,2,0
31.000,490899258,15772846.36,15837777.83,0,0.00,0.00,1,0
31.500,0,0.00,0.00,33511323,757575.76,1063853.92,2,0
32.000,506736897,15876832.39,15837745.22,0,0.00,0.00,1,0
32.500,0,0.00,0.00,34589274,387596.90,1064287.67,2,0
33.000,522574536,15886689.96,15837746.06,0,0.00,0.00,1,0
33.500,0,0.00,0.00,35667341,3846153.88,1064699.05,2,0
34.000,538408081,15682218.65,15837635.57,0,0.00,0.00,1,0
34.500,0,0.00,0.00,36745827,1886792.57,1065098.67,2,0
35.000,554247767,15956037.10,15837661.45,0,0.00,0.00,1,0
