time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,core,port
47.500,0,0.00,0.00,50099104,632911.39,1054723.14,2,0
48.000,426121943,8894972.41,8878919.49,0,0.00,0.00,1,0
48.500,0,0.00,0.00,51149290,1754385.97,1054629.59,2,0
49.000,434995688,8917835.67,8878818.55,0,0.00,0.00,1,0
49.500,0,0.00,0.00,52200563,2577319.58,1054561.79,2,0
50.000,443869433,8842332.61,8878712.19,0,0.00,0.00,1,0
50.500,0,0.00,0.00,53252444,1886792.57,1054508.73,2,0
51.000,452743178,8893040.23,8878615.96,0,0.00,0.00,1,0
51.500,0,0.00,0.00,54302585,649350.64,1054423.89,2,0
52.000,461616923,8800515.91,8878515.55,0,0.00,0.00,1,0
52.500,0,0.00,0.00,55353635,1433691.76,1054359.61,2,0
53.000,470488621,8874149.22,8878412.62,0,0.00,0.00,1,0
53.500,0,0.00,0.00,56405347,1250269.47,1054310.16,2,0
54.000,479362366,8879153.29,8878319.70,0,0.00,0.00,1,0
54.500,0,0.00,0.00,57456341,429184.55,1054249.29,2,0
55.000,488236111,8906970.67,8878209.93,0,0.00,0.00,1,0
55.500,0,0.00,0.00,58508412,103199.17,1054209.90,2,0
56.000,497109856,8899226.15,8878141.05,0,0.00,0.00,1,0
56.500,0,0.00,0.00,59547023,636942.68,1053933.95,2,0
57.000,505981554,8969415.48,8878050.26,0,0.00,0.00,1,0
57.500,0,0.00,0.00,60593604,378787.88,1053806.07,2,0
58.000,514855299,8923667.12,8877955.47,0,0.00,0.00,1,0
58.500,0,0.00,0.00,61642877,205980.54,1053728.51,2,0
59.000,523729044,8833937.51,8877874.23,0,0.00,0.00,1,0
59.500,0,0.00,0.00,62692892,526315.80,1053666.19,2,0
60.000,532600742,8873379.86,8877791.51,0,0.00,0.00,1,0
