combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
1,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,5277438,78308.54,88696.56,-1404.7222550607
1,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,6055425,14413.38,101772.26,0.0408617825
1,for_0_a_3200,128,xdpdrv,0.0.0.255,60,6057089,0.0,101800.14,0.0404933495
2,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,11551237,268096.51,194138.69,-213.8908508546
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,23092361,223214.28,388108.76,-106.9712551996
2,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,15087616,0.0,253573.83,0.0330569869
2,for_0_a_3200,64,xdpdrv,0.0.0.255,60,15100867,0.0,253796.86,0.0324752253
8,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,45692435,1807228.91,767941.01,-162.2069688117
8,for_0_a_3200,256,xdpdrv,0.0.0.255,60,67486208,0.0,1134221.6,0.0291416265
1,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,5245859,83402.84,88166.12,0.0468704351
2,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,11547773,178890.88,194080.47,0.0426840793
8,for_0_a_3200,64,xdpdrv,0.0.0.255,60,67533060,11407.71,1135009.69,0.0290758072
8,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,48984814,1578947.34,823275.22,0.0077327698
2,for_0_a_3200,256,xdpdrv,0.0.0.255,60,15097408,0.0,253737.98,0.0325684064
8,for_0_a_3200,512,xdpdrv,0.0.0.255,60,67479468,641025.65,1134110.11,0.0292246951
2,for_0_a_3200,128,xdpdrv,0.0.0.255,60,15092168,3448275.83,253651.04,0.0325355961
8,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,45749546,275482.09,768900.94,-53.9729963219
1,for_0_a_3200,256,xdpdrv,0.0.0.255,60,6059840,0.0,101846.04,0.040527973
1,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,5249299,85397.1,88223.63,0.0466829339
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,11562530,280112.05,194328.49,0.0424173224
8,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,45621979,645161.3,766756.92,0.0429845226
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,45731049,617283.94,768590.04,0.0428113961
1,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,5275585,72886.3,88665.4,-468.3744259327
2,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,11591055,130039.01,194808.56,-639.5527602867
8,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,67451551,1219512.16,1133640.94,0.029393676
4,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,30183222,636942.68,507283.2,0.0330270118
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,45745231,1273885.35,768830.16,-53.9782066854
4,for_0_a_3200,512,xdpdrv,0.0.0.255,60,30197185,0.0,507516.02,0.0326482563
4,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,23093698,772200.77,388129.84,-320.9795405377
4,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,30198208,0.0,507534.01,0.0328407991
4,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,23099110,1119402.98,388220.87,-106.9398717118
2,for_0_a_3200,512,xdpdrv,0.0.0.255,60,15094082,12881.62,253682.27,0.0326733796
1,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,6052032,0.0,101714.86,0.0410545089
8,for_0_a_3200,128,xdpdrv,0.0.0.255,60,67500292,85372.79,1134460.0,0.029104758
4,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,23087258,595238.11,388021.59,0.0422040935
2,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,15089345,12112.4,253602.62,0.0328795287
4,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,23089816,609756.1,388064.64,0.0424540896
4,for_0_a_3200,128,xdpdrv,0.0.0.255,60,30203393,0.0,507621.59,0.032513861
4,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,23072870,217391.3,387779.82,0.042623604
1,for_0_a_3200,512,xdpdrv,0.0.0.255,60,6068929,0.0,101998.77,0.0405727082
4,for_0_a_3200,256,xdpdrv,0.0.0.255,60,30204666,5194805.16,507644.52,0.0325500397
2,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,11566099,131061.6,194388.93,-213.6161566141
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,5257630,103950.1,88363.69,-469.9737636269
1,for_0_a_3200,64,xdpdrv,0.0.0.255,60,6062531,0.0,101891.41,0.0403726098
4,for_0_a_6400,256,xdpdrv,0.0.0.255,60,15233536,0.0,256025.78,0.0643561294
8,for_0_a_6400,512,xdpdrv,0.0.0.255,60,30533953,0.0,513176.14,0.0642767896
1,for_0_a_6400,64,xdpdrv,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_6400,256,xdpdrv,0.0.0.255,60,6151488,0.0,103386.41,0.0796424081
4,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,13763507,219298.25,231319.74,-179.4759484732
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,22981725,639279.43,386247.99,0.0847848846
4,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,13767554,131406.04,231387.72,0.0709026327
8,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,30522432,0.0,512982.61,0.064456257
