combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
4,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,18,1,0,63,917.155,1.003.944,204.434,8.013,267.711,20.015,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1.009.745,1.023.124,208.825,7.933,273.091,16.005,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,64,xdpdrv,0.0.0.255,60,0,61,1,0,64,1.503.647,1.049.804,213.031,7.794,280.824,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,256,xdpdrv,0.0.0.255,60,1,16,1,0,64,917.601,1.036.635,210.927,7.984,276.548,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,0,68,1,0,63,1.673.794,1.018.802,207.430,8.181,272.274,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,128,xdpdrv,0.0.0.255,60,1,20,1,0,65,933.835,1.050.067,213.341,7.803,280.393,21.039,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,26,1,0,66,996.298,1.031.421,209.636,7.720,275.401,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,128,xdpgeneric,0.0.0.255,60,1,26,1,0,65,973.966,1.030.999,209.712,7.261,275.405,17.130,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,1024,xdpdrv,0.0.0.255,60,0,77,1,0,64,1.455.290,1.011.583,206.257,7.895,269.940,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,26,1,0,64,990.305,1.012.198,205.832,7.846,270.029,20.539,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_1600,256,xdpdrv,0.0.0.255,60,1,15,1,0,63,899.493,1.012.118,206.264,7.642,269.892,22.644,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,1,20,1,0,64,937.110,1.004.860,204.764,7.945,268.201,20.433,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,06,1,0,64,1.033.851,1.025.811,208.635,7.596,273.894,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,0,69,1,0,64,1.703.095,1.031.132,209.786,7.306,275.834,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,128,xdpgeneric,0.0.0.255,60,0,86,1,0,63,2.121.985,1.022.785,207.480,8.214,272.447,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,64,969.824,1.034.117,210.588,7.912,276.087,20.917,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,1,21,1,0,65,937.635,1.026.288,209.129,7.999,274.099,18.271,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,26,1,0,64,980.881,1.029.090,209.428,7.656,274.886,21.785,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,1,23,1,0,64,966.139,1.033.496,210.096,7.403,276.163,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,512,xdpdrv,0.0.0.255,60,0,96,1,0,62,1.490.903,2.334.921,455.950,8.162,708.828,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,1,25,1,0,64,984.128,1.031.084,210.143,7.750,275.271,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,27,1,0,64,992.425,1.019.945,207.835,8.171,272.030,19.162,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,22,1,0,62,960.561,1.010.001,205.888,8.087,269.598,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,24,1,0,62,974.386,1.010.129,205.526,7.691,269.219,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,63,986.689,1.014.857,206.654,7.562,270.531,15.513,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,0,60,1,0,63,1.475.534,1.009.448,205.521,8.018,269.850,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_6400,256,xdpdrv,0.0.0.255,60,1,21,1,0,64,943.106,1.027.711,208.991,8.084,274.452,20.731,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,128,xdpgeneric,0.0.0.255,60,1,22,1,0,63,959.102,1.004.398,204.242,7.720,267.676,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,0,62,1,0,64,1.517.921,1.031.187,209.584,7.818,275.975,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,18,1,0,64,926.068,1.009.441,205.872,7.796,269.540,20.765,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,20,1,0,63,934.780,1.021.679,207.921,7.601,272.765,24.537,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,1,20,1,0,65,939.216,1.044.570,212.621,7.826,279.179,25.460,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,64,xdpdrv,0.0.0.255,60,1,20,1,0,64,939.061,1.011.212,205.755,8.016,269.770,22.948,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,1,20,1,0,63,933.142,1.005.897,204.775,7.978,268.360,18.992,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,22,1,0,63,959.592,1.015.541,206.480,8.031,270.736,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,21,1,0,63,940.326,1.014.224,206.744,7.962,270.695,21.044,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,64,xdpdrv,0.0.0.255,60,1,17,1,0,63,920.260,998.382,203.364,8.213,266.451,11.368,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,64,xdpdrv,0.0.0.255,60,1,18,1,0,63,923.578,1.019.518,207.016,7.461,271.708,19.423,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,64,xdpgeneric,0.0.0.255,60,1,26,1,0,63,995.371,1.010.549,205.971,7.965,269.459,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_1600,64,xdpdrv,0.0.0.255,60,1,18,1,0,63,917.847,1.005.686,204.756,7.501,268.238,20.197,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,0,60,1,0,62,1.477.949,1.022.351,207.118,7.733,271.994,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,1,27,1,0,64,988.535,1.012.709,206.085,7.936,270.250,20.269,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,64,xdpgeneric,0.0.0.255,60,0,87,1,0,63,2.130.920,1.022.117,208.464,7.805,272.853,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,1,28,1,0,65,1.008.037,1.032.353,209.936,8.178,275.463,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,20,1,0,63,947.409,1.004.816,204.624,7.317,268.138,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,512,xdpdrv,0.0.0.255,60,0,57,1,0,63,1.412.206,1.000.069,203.792,7.755,266.825,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,24,1,0,65,976.227,1.036.464,211.051,8.112,276.605,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,0,66,1,0,63,1.637.341,1.000.160,203.251,8.191,267.202,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_800,512,xdpdrv,0.0.0.255,60,1,17,1,0,63,912.195,1.004.119,205.006,7.867,267.669,25.150,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,256,xdpdrv,0.0.0.255,60,0,75,1,0,64,1.418.259,1.014.786,206.726,8.104,270.592,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,05,1,0,64,1.676.889,2.719.977,530.794,8.150,837.901,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_6400,128,xdpdrv,0.0.0.255,60,1,19,1,0,65,931.515,1.028.494,209.271,7.823,274.252,25.843,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,19,1,0,63,941.355,1.004.478,204.637,7.612,268.144,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,1024,xdpdrv,0.0.0.255,60,0,93,1,0,64,1.825.945,3.061.922,596.082,8.216,950.733,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,64,xdpdrv,0.0.0.255,60,0,57,1,0,63,1.400.508,1.011.518,205.910,7.866,269.833,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,1024,xdpdrv,0.0.0.255,60,1,16,1,0,64,2.404.847,4.124.623,794.956,9.002,1.300.081,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_100,64,xdpgeneric,0.0.0.255,60,0,80,1,0,63,1.969.484,1.008.797,205.122,8.103,268.790,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_3200,512,xdpdrv,0.0.0.255,60,1,17,1,0,64,915.752,1.014.059,206.841,7.403,270.664,27.280,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,1,22,1,0,64,949.237,1.024.375,208.307,7.626,273.591,17.945,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,27,1,0,65,1.003.453,1.037.756,210.520,7.802,276.913,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,0,67,1,0,62,1.659.824,1.008.574,205.376,8.386,269.464,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,0,68,1,0,63,1.679.489,1.005.739,204.676,7.999,268.374,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,26,1,0,62,978.385,999.447,203.106,8.267,266.688,17.699,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,256,xdpdrv,0.0.0.255,60,1,17,1,0,62,908.542,995.401,202.879,8.032,265.515,19.281,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,17,1,0,63,919.395,1.030.446,209.854,7.646,275.039,13.698,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,25,1,0,65,976.855,1.019.617,207.301,7.706,272.248,19.797,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,128,xdpdrv,0.0.0.255,60,1,15,1,0,64,896.759,1.007.304,204.900,7.687,268.709,24.742,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,256,xdpdrv,0.0.0.255,60,0,59,1,0,63,1.442.347,1.023.958,208.327,7.541,273.377,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,0,72,1,0,63,1.785.134,1.019.472,206.899,7.932,272.334,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,512,xdpdrv,0.0.0.255,60,1,18,1,0,65,918.727,1.022.267,208.621,8.016,272.904,20.369,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,25,1,0,64,977.838,1.027.615,209.277,7.909,274.036,19.324,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,64,xdpdrv,0.0.0.255,60,1,21,1,0,64,944.603,1.029.845,209.636,7.837,274.742,21.166,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,64,xdpgeneric,0.0.0.255,60,1,31,1,0,65,1.035.117,1.043.511,211.655,7.756,278.020,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,23,1,0,63,960.901,1.008.316,205.345,7.641,268.757,19.514,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,128,xdpdrv,0.0.0.255,60,0,96,1,0,63,1.433.559,1.743.292,335.167,7.710,499.839,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,64,xdpdrv,0.0.0.255,60,1,17,1,0,63,909.873,1.006.089,204.751,7.564,268.176,20.580,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,128,xdpgeneric,0.0.0.255,60,0,79,1,0,63,1.942.880,1.025.643,208.572,7.751,274.042,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,1,18,1,0,64,925.595,1.018.411,207.809,7.861,271.675,23.317,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,1,23,1,0,64,971.329,1.004.422,204.652,7.834,267.969,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,0,68,1,0,64,1.138.878,1.022.867,208.295,8.087,272.697,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,0,71,1,0,62,1.745.912,1.010.024,205.694,7.877,269.625,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,24,1,0,63,965.513,1.005.611,205.246,8.020,268.116,17.744,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,21,1,0,64,945.981,1.040.406,211.832,7.675,277.908,22.219,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,512,xdpdrv,0.0.0.255,60,1,20,1,0,65,940.708,1.022.937,208.022,7.778,273.145,27.316,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,128,xdpgeneric,0.0.0.255,60,1,12,1,0,62,883.247,1.011.056,205.924,7.785,269.423,31.978,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,1,19,1,0,63,929.954,1.022.081,208.367,8.012,273.124,20.504,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,22,1,0,63,962.144,1.004.822,204.463,7.521,268.133,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,20,1,0,64,948.487,1.017.261,206.917,8.053,271.444,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_6400,64,xdpdrv,0.0.0.255,60,1,17,1,0,64,920.348,1.031.408,210.254,8.014,275.340,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1,22,1,0,63,950.578,1.012.222,206.435,7.641,270.138,18.783,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,256,xdpdrv,0.0.0.255,60,0,96,1,0,63,1.131.280,1.010.859,205.654,7.636,269.826,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,15,1,0,65,965.681,1.038.107,211.195,7.399,277.044,38.965,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,256,xdpdrv,0.0.0.255,60,1,18,1,0,65,926.456,1.026.785,208.131,7.840,273.323,27.268,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,1024,xdpdrv,0.0.0.255,60,1,18,1,0,64,921.220,1.021.351,208.391,7.721,272.635,19.719,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,24,1,0,63,979.031,1.004.574,204.253,7.968,267.906,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,1024,xdpdrv,0.0.0.255,60,1,21,1,0,64,944.443,1.022.730,208.185,7.974,273.149,19.587,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,23,1,0,65,960.037,1.021.643,208.399,7.394,272.702,19.175,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,23,1,0,63,967.973,995.437,202.646,8.033,265.603,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,1,17,1,0,63,912.851,1.001.234,204.066,7.736,267.307,21.008,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,26,1,0,65,990.529,1.033.393,210.270,7.821,276.165,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,20,1,0,63,932.667,1.016.880,206.579,7.621,271.231,17.791,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,24,1,0,64,978.622,1.029.700,209.703,7.703,275.142,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,28,1,0,65,994.179,1.034.979,211.068,7.737,276.365,18.481,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_200,512,xdpdrv,0.0.0.255,60,1,16,1,0,63,909.671,1.005.590,204.570,7.377,268.400,27.753,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,22,1,0,62,951.782,1.003.544,204.403,7.920,267.612,17.286,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1,24,1,0,63,969.057,1.008.159,205.234,7.875,269.024,19.132,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,128,xdpdrv,0.0.0.255,60,1,18,1,0,63,925.011,1.009.060,205.698,8.107,269.028,26.068,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,25,1,0,64,984.523,1.030.626,209.968,7.392,275.079,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,20,1,0,63,939.413,999.352,203.146,7.845,266.558,22.516,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,256,xdpdrv,0.0.0.255,60,1,19,1,0,63,929.269,1.004.872,204.213,7.731,267.982,25.972,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,64,xdpgeneric,0.0.0.255,60,1,28,1,0,64,993.415,1.040.314,211.703,8.088,277.867,19.025,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,28,1,0,63,1.010.201,1.030.607,209.871,7.912,275.135,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,1,21,1,0,65,948.343,1.028.399,209.011,7.633,274.648,21.826,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,64,xdpdrv,0.0.0.255,60,1,21,1,0,64,946.302,1.023.268,208.201,8.125,272.978,21.109,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,0,75,1,0,64,1.852.771,1.008.069,205.684,7.887,268.729,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,128,xdpdrv,0.0.0.255,60,1,15,1,0,64,904.519,1.032.457,210.286,7.545,275.641,9.085,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,17,1,0,64,915.178,1.022.190,208.430,7.358,273.070,21.931,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,1,23,1,0,65,958.088,1.023.129,208.328,7.826,272.875,21.124,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
