combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1,23,1,0,64,973.105,1.015.868,207.029,7.947,270.718,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,256,xdpdrv,0.0.0.255,60,1,06,1,0,64,1.000.249,1.022.393,208.416,7.865,272.642,34.011,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,19,1,0,64,960.281,1.015.567,205.734,8.192,270.725,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,17,1,0,64,1.018.016,1.029.168,209.728,7.695,275.168,16.868,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,24,1,0,65,978.363,1.028.358,209.223,7.948,274.472,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,64,xdpdrv,0.0.0.255,60,1,17,1,0,63,922.658,1.002.956,204.034,7.953,267.582,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1.008.220,1.022.126,208.463,7.431,272.785,15.291,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,65,988.187,1.016.640,206.624,8.048,271.085,15.781,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,25,1,0,63,987.630,1.032.119,210.472,7.345,275.678,15.330,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,00,1,0,64,1.007.714,1.023.282,207.809,8.009,272.028,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,0,70,1,0,64,1.740.440,1.034.800,209.403,7.881,275.254,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1.015.177,1.018.936,208.078,8.038,271.940,15.695,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_100,256,xdpdrv,0.0.0.255,60,0,84,1,0,63,1.324.617,1.007.839,205.364,7.724,268.998,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,64,xdpdrv,0.0.0.255,60,0,60,1,0,63,1.487.190,1.008.827,205.011,7.885,269.514,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,1024,xdpdrv,0.0.0.255,60,1,03,1,0,64,971.294,1.015.386,207.171,7.398,270.699,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,26,1,0,64,1.003.889,1.024.183,208.153,8.186,273.752,16.484,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_200,128,xdpdrv,0.0.0.255,60,1,22,1,0,63,964.225,998.327,203.497,8.078,266.135,16.068,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
