combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate
1,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,6796475,127388.54,114226.6
2,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,10278003,389157.29,172739.77
8,for_0_a_3200,64,xdpdrv,0.0.0.255,60,45537411,0.0,765335.05
8,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,45486093,387596.9,764473.11
2,for_0_a_3200,256,xdpdrv,0.0.0.255,60,12968384,0.0,217956.04
8,for_0_a_3200,512,xdpdrv,0.0.0.255,60,45506113,0.0,764808.4
2,for_0_a_3200,128,xdpdrv,0.0.0.255,60,12972161,0.0,218019.53
8,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,40195845,381729.63,675561.25
1,for_0_a_3200,256,xdpdrv,0.0.0.255,60,5698048,0.0,95765.47
1,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,6805739,115344.84,114382.29
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,10320412,178571.43,173452.49
8,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,39967687,177315.8,671726.64
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,40052664,554016.62,673154.81
1,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,6846823,115074.8,115072.99
2,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,10320652,2325581.4,173456.55
8,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,45493120,0.0,764590.87
4,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,22786519,387596.9,382967.18
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,40382323,636942.68,678695.32
4,for_0_a_3200,512,xdpdrv,0.0.0.255,60,22772994,30358.23,382739.78
4,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,22902417,699300.69,384915.02
4,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,22772416,0.0,382731.26
4,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,22787880,636942.68,382990.06
2,for_0_a_3200,512,xdpdrv,0.0.0.255,60,12971329,0.0,218006.01
1,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,5696576,0.0,95740.88
8,for_0_a_3200,128,xdpdrv,0.0.0.255,60,45529922,11970.31,765208.81
4,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,22842565,130039.01,383909.82
2,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,12968192,0.0,217952.97
4,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,22703412,151515.15,381570.4
4,for_0_a_3200,128,xdpdrv,0.0.0.255,60,22789441,0.0,383017.0
4,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,22737634,632911.39,382145.57
1,for_0_a_3200,512,xdpdrv,0.0.0.255,60,5698817,0.0,95778.79
