combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate
1,for_0_a_100,128,xdpgeneric,0.0.0.255,60,50803441,534759.36,853842.51
4,for_0_a_100,64,xdpgeneric,0.0.0.255,60,135277565,1428571.46,2273575.21
4,for_0_a_100,512,xdpdrv,0.0.0.255,60,140046907,1819322.47,2353732.71
2,for_0_a_100,64,xdpdrv,0.0.0.255,60,276963604,1694915.54,4654856.39
8,for_0_a_100,256,xdpgeneric,0.0.0.255,60,244798530,4951339.93,4114278.29
4,for_0_a_100,512,xdpgeneric,0.0.0.255,60,130917327,4838709.39,2200296.37
2,for_0_a_100,64,xdpgeneric,0.0.0.255,60,73508651,1898734.04,1235440.97
8,for_0_a_100,128,xdpdrv,0.0.0.255,60,503413863,1818181.5,8460747.17
8,for_0_a_100,64,xdpdrv,0.0.0.255,60,749033374,12787212.66,12588838.71
2,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,70905881,1851851.94,1191699.33
8,for_0_a_100,256,xdpdrv,0.0.0.255,60,269953650,12719298.3,4537041.83
1,for_0_a_100,64,xdpdrv,0.0.0.255,60,139305670,217233.89,2341274.29
8,for_0_a_100,1500,xdpdrv,0.0.0.255,60,49006522,581395.35,823640.04
4,for_0_a_100,256,xdpgeneric,0.0.0.255,60,132018764,1265822.87,2218805.42
2,for_0_a_100,128,xdpgeneric,0.0.0.255,60,73451844,757575.74,1234486.22
8,for_0_a_100,1024,xdpdrv,0.0.0.255,60,71355591,645161.2,1199255.06
2,for_0_a_100,1024,xdpdrv,0.0.0.255,60,71352198,1234567.79,1199200.8
8,for_0_a_100,64,xdpgeneric,0.0.0.255,60,253145052,9027777.74,4254543.98
1,for_0_a_100,256,xdpdrv,0.0.0.255,60,138453447,2143121.19,2326951.36
2,for_0_a_100,256,xdpdrv,0.0.0.255,60,269872633,10344826.68,4535685.03
8,for_0_a_100,512,xdpgeneric,0.0.0.255,60,140035070,5882353.78,2353533.53
8,for_0_a_100,512,xdpdrv,0.0.0.255,60,140046556,632911.35,2353732.92
4,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,71353009,1169826.54,1199211.71
4,for_0_a_100,1500,xdpdrv,0.0.0.255,60,49006287,641025.69,823636.06
2,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,49005519,1257861.63,823623.21
8,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,71357215,1853034.79,1199283.8
8,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,71346479,1258134.38,1199101.91
2,for_0_a_200,256,xdpdrv,0.0.0.255,60,186986365,2353418.07,3142631.67
8,for_0_a_200,256,xdpdrv,0.0.0.255,60,269939983,632911.35,4536820.8
1,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,40020542,102774.92,672614.88
1,for_0_a_200,256,xdpgeneric,0.0.0.255,60,41515054,381679.38,697732.78
2,for_0_a_200,128,xdpgeneric,0.0.0.255,60,62841647,1242502.2,1056164.34
2,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,60214062,641167.37,1012002.72
2,for_0_a_200,1024,xdpdrv,0.0.0.255,60,71356823,636942.77,1199275.73
4,for_0_a_200,1500,xdpdrv,0.0.0.255,60,49005647,625000.04,823625.31
2,for_0_a_200,64,xdpdrv,0.0.0.255,60,187789828,15976048.93,3156135.39
4,for_0_a_200,512,xdpgeneric,0.0.0.255,60,118856427,1257861.63,1997593.92
8,for_0_a_200,1024,xdpdrv,0.0.0.255,60,71347861,641025.69,1199125.27
8,for_0_a_200,64,xdpgeneric,0.0.0.255,60,211956601,2285714.4,3562300.23
8,for_0_a_200,512,xdpgeneric,0.0.0.255,60,140025414,2366864.1,2353371.39
1,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,39546516,662251.68,664648.11
1,for_0_a_200,1500,xdpdrv,0.0.0.255,60,48991133,657894.81,823383.46
4,for_0_a_200,64,xdpgeneric,0.0.0.255,60,121166214,645161.3,2036410.67
2,for_0_a_200,1500,xdpdrv,0.0.0.255,60,49006289,729927.09,823636.08
4,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,49006896,1818183.01,823646.36
1,for_0_a_200,128,xdpgeneric,0.0.0.255,60,41812742,1273885.54,702735.98
8,for_0_a_200,128,xdpdrv,0.0.0.255,60,503031067,11827960.62,8454324.17
4,for_0_a_200,256,xdpgeneric,0.0.0.255,60,120806733,3333333.22,2030367.87
8,for_0_a_200,64,xdpdrv,0.0.0.255,60,601716316,10586881.52,10112905.02
8,for_0_a_200,512,xdpdrv,0.0.0.255,60,140045245,383141.74,2353704.71
1,for_0_a_200,256,xdpdrv,0.0.0.255,60,83979969,32289.31,1411433.96
1,for_0_a_200,64,xdpdrv,0.0.0.255,60,84032067,16279069.77,1412305.27
2,for_0_a_200,512,xdpdrv,0.0.0.255,60,139993346,1234830.53,2352834.9
4,for_0_a_200,256,xdpdrv,0.0.0.255,60,269779369,9589040.96,4534128.83
2,for_0_a_200,128,xdpdrv,0.0.0.255,60,186975302,3389832.39,3142450.84
1,for_0_a_200,64,xdpgeneric,0.0.0.255,60,41740763,609756.12,701526.29
8,for_0_a_200,128,xdpgeneric,0.0.0.255,60,209875452,1117318.61,3527322.96
1,for_0_a_200,512,xdpdrv,0.0.0.255,60,83975590,3389829.78,1411359.82
1,for_0_a_200,128,xdpdrv,0.0.0.255,60,84066371,60532.69,1412881.44
1,for_0_a_200,512,xdpgeneric,0.0.0.255,60,40083231,760456.3,673668.52
2,for_0_a_200,64,xdpgeneric,0.0.0.255,60,62575262,390677.61,1051688.32
4,for_0_a_200,64,xdpdrv,0.0.0.255,60,334749259,3977273.68,5626044.84
4,for_0_a_200,128,xdpdrv,0.0.0.255,60,333058257,1772151.87,5597629.43
8,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,49005988,1119403.05,823631.12
1,for_0_a_200,1024,xdpdrv,0.0.0.255,60,71345846,1819323.22,1199091.96
4,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,71353368,606060.67,1199217.7
8,for_0_a_200,1500,xdpdrv,0.0.0.255,60,49005858,649350.61,823628.86
2,for_0_a_200,512,xdpgeneric,0.0.0.255,60,63160300,653594.88,1061520.56
2,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,48995908,277008.31,823463.64
8,for_0_a_200,256,xdpgeneric,0.0.0.255,60,207974340,3389829.78,3495371.2
4,for_0_a_200,1024,xdpdrv,0.0.0.255,60,71358008,1204819.48,1199295.7
2,for_0_a_200,256,xdpgeneric,0.0.0.255,60,61159748,636942.58,1027896.32
4,for_0_a_200,128,xdpgeneric,0.0.0.255,60,121240292,3508772.65,2037658.54
4,for_0_a_200,512,xdpdrv,0.0.0.255,60,140037639,5405406.1,2353576.46
4,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,35902702,637082.64,603408.73
8,for_0_a_1600,256,xdpdrv,0.0.0.255,60,89570624,0.0,1505389.82
1,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,10917801,390625.0,183493.14
2,for_0_a_1600,128,xdpdrv,0.0.0.255,60,29615297,0.0,497736.01
4,for_0_a_1600,128,xdpdrv,0.0.0.255,60,57871426,32310.18,972632.12
4,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,48996161,277777.77,823465.79
1,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,10867422,177935.94,182646.59
2,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,20461823,216450.23,343896.62
4,for_0_a_1600,64,xdpdrv,0.0.0.255,60,57818629,91491.31,971742.77
4,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,35965106,547945.2,604456.3
2,for_0_a_1600,64,xdpdrv,0.0.0.255,60,29582595,0.0,497186.48
2,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,29604416,0.0,497553.36
2,for_0_a_1600,512,xdpdrv,0.0.0.255,60,29605474,6493506.14,497573.32
1,for_0_a_1600,256,xdpdrv,0.0.0.255,60,12689988,47253.4,213277.11
8,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,79071299,757575.68,1328930.95
2,for_0_a_1600,256,xdpdrv,0.0.0.255,60,29605888,0.0,497577.76
8,for_0_a_1600,128,xdpdrv,0.0.0.255,60,89627458,21226.92,1506345.17
2,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,20342943,177619.89,341899.06
1,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,10828387,178253.11,181989.94
8,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,49000552,641025.69,823539.71
4,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,58008952,1242235.83,974943.27
1,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,10793063,130890.05,181396.23
1,for_0_a_1600,128,xdpdrv,0.0.0.255,60,12694658,12262.42,213355.73
2,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,20455887,223214.29,343796.83
8,for_0_a_1600,64,xdpdrv,0.0.0.255,60,89628488,124440.02,1506365.74
8,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,48998160,641025.69,823499.44
8,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,71285272,1923077.08,1198073.28
8,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,78778081,1754386.32,1324002.99
1,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,10900197,218340.6,183196.81
2,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,29586496,0.0,497253.75
2,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,20577373,213219.62,345838.59
4,for_0_a_1600,512,xdpdrv,0.0.0.255,60,57920961,0.0,973461.78
4,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,36202810,277008.31,608451.29
8,for_0_a_1600,512,xdpdrv,0.0.0.255,60,89570986,2395704.62,1505396.67
4,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,36089984,632911.35,606557.3
1,for_0_a_1600,512,xdpdrv,0.0.0.255,60,12693441,0.0,213335.13
4,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,36273821,653594.79,609644.8
4,for_0_a_1600,256,xdpdrv,0.0.0.255,60,57988547,48836.07,974598.52
1,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,12697792,0.0,213408.16
4,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,35879912,757674.74,603024.47
8,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,71335107,1273885.54,1198910.86
8,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,78326764,546448.1,1316418.42
8,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,79241749,636942.68,1331795.87
1,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,10755821,283286.12,180770.55
1,for_0_a_1600,64,xdpdrv,0.0.0.255,60,12684483,0.0,213184.71
1,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,12696828,276243.07,213392.73
2,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,20380440,219298.25,342529.62
2,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,20360838,177304.95,342199.98
