combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
2,for_0_a_3200,512,xdpdrv,0.0.0.255,60,1,0,63,944.300,1.014.704,206.127,7.690,270.542,18.026,0,0,0,0,0,0,0
4,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,0,63,970.328,1.009.280,205.096,7.994,269.143,0,0,0,0,0,0,0,0
1,for_0_a_0,64,xdpdrv,0.0.0.255,60,1,0,63,944.410,1.015.344,206.801,8.005,270.844,18.541,0,0,0,0,0,0,0
4,for_0_a_0,64,xdpgeneric,0.0.0.255,60,1,0,63,1.262.738,1.011.171,205.040,7.769,268.733,0,0,0,0,0,0,0,0
2,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,0,65,969.069,1.021.895,208.506,8.237,272.756,20.109,0,0,0,0,0,0,0
4,for_0_a_0,128,xdpdrv,0.0.0.255,60,1,0,63,1.299.733,1.014.283,206.349,7.787,270.413,0,0,0,0,0,0,0,0
2,for_0_a_1600,64,xdpdrv,0.0.0.255,60,1,0,64,941.713,1.018.188,206.240,7.361,270.678,0,0,0,0,0,0,0,0
8,for_0_a_200,128,xdpgeneric,0.0.0.255,60,1,0,63,1.911.646,1.008.195,204.469,7.970,268.017,0,0,0,0,0,0,0,0
2,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,1,0,65,949.029,1.029.932,209.248,7.876,274.963,21.408,0,0,0,0,0,0,0
2,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,0,63,1.010.667,1.009.080,205.997,7.860,269.122,15.198,0,0,0,0,0,0,0
2,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,1,0,64,966.613,1.016.591,207.222,8.006,271.343,18.285,0,0,0,0,0,0,0
2,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,1,0,63,985.637,1.003.203,204.157,7.648,267.571,0,0,0,0,0,0,0,0
4,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,1,0,63,1.029.020,1.016.158,207.245,8.082,271.059,15.908,0,0,0,0,0,0,0
8,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,0,65,1.771.998,1.037.642,210.554,8.217,277.476,0,0,0,0,0,0,0,0
1,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,0,64,961.573,1.014.840,207.112,7.919,270.818,17.673,0,0,0,0,0,0,0
1,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,0,64,947.597,1.023.319,208.162,7.927,273.478,0,0,0,0,0,0,0,0
4,for_0_a_400,512,xdpdrv,0.0.0.255,60,1,0,62,961.744,1.010.534,205.714,8.081,269.529,18.040,0,0,0,0,0,0,0
1,for_0_a_0,128,xdpgeneric,0.0.0.255,60,1,0,65,1.000.949,1.019.667,208.219,7.936,272.215,15.129,0,0,0,0,0,0,0
1,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,1,0,64,948.722,1.011.803,205.585,7.890,270.003,17.703,0,0,0,0,0,0,0
4,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.029.594,1.019.544,207.539,8.248,272.039,15.947,0,0,0,0,0,0,0
1,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,0,65,939.633,1.030.114,209.675,7.693,275.250,0,0,0,0,0,0,0,0
4,for_0_a_1,256,xdpgeneric,0.0.0.255,60,1,0,65,1.026.891,1.040.449,211.525,7.847,277.647,18.633,0,0,0,0,0,0,0
1,for_0_a_6400,64,xdpdrv,0.0.0.255,60,1,0,64,934.218,1.019.942,207.312,7.350,272.076,20.682,0,0,0,0,0,0,0
4,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1,0,64,976.709,1.022.389,208.038,7.788,272.919,0,0,0,0,0,0,0,0
4,for_0_a_0,256,xdpdrv,0.0.0.255,60,1,0,63,973.581,1.000.072,203.573,7.912,266.691,0,0,0,0,0,0,0,0
4,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,0,63,971.680,1.034.808,209.595,7.415,275.434,0,0,0,0,0,0,0,0
4,for_0_a_1,1024,xdpdrv,0.0.0.255,60,1,0,65,962.446,1.031.105,209.469,7.955,275.222,19.223,0,0,0,0,0,0,0
4,for_0_a_800,256,xdpdrv,0.0.0.255,60,1,0,65,955.171,1.031.744,209.935,7.855,275.558,18.637,0,0,0,0,0,0,0
1,for_0_a_400,1024,xdpdrv,0.0.0.255,60,1,0,63,933.941,1.009.559,205.358,7.913,269.060,19.058,0,0,0,0,0,0,0
2,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,0,66,1.004.136,1.042.195,211.780,8.042,278.446,0,0,0,0,0,0,0,0
2,for_0_a_400,1024,xdpdrv,0.0.0.255,60,1,0,63,941.160,1.002.210,204.021,7.917,267.219,0,0,0,0,0,0,0,0
8,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,0,64,2.135.967,1.025.712,207.632,8.204,272.408,0,0,0,0,0,0,0,0
1,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,0,62,950.909,1.002.644,204.638,7.570,267.208,18.398,0,0,0,0,0,0,0
4,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,0,65,991.874,1.028.807,209.330,7.902,274.713,0,0,0,0,0,0,0,0
4,for_0_a_1,64,xdpgeneric,0.0.0.255,60,1,0,64,1.050.077,1.021.660,207.682,7.897,272.407,15.389,0,0,0,0,0,0,0
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,1,0,64,931.532,1.012.065,205.800,7.712,270.201,20.188,0,0,0,0,0,0,0
4,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,0,64,1.033.743,1.035.684,210.943,8.034,276.559,15.914,0,0,0,0,0,0,0
1,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,0,62,929.484,998.876,203.163,7.986,266.170,19.151,0,0,0,0,0,0,0
1,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,0,62,949.358,1.012.721,205.297,7.270,270.088,0,0,0,0,0,0,0,0
2,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,0,63,975.374,1.009.511,205.973,7.862,269.261,0,0,0,0,0,0,0,0
1,for_0_a_200,512,xdpdrv,0.0.0.255,60,1,0,65,980.815,1.043.819,212.019,8.160,278.861,0,0,0,0,0,0,0,0
2,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,0,63,982.026,1.033.411,210.392,7.991,275.803,0,0,0,0,0,0,0,0
2,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1,0,65,974.337,1.015.317,206.561,7.802,270.894,19.771,0,0,0,0,0,0,0
2,for_0_a_12800,128,xdpdrv,0.0.0.255,60,1,0,64,939.983,1.026.937,208.832,7.716,274.269,28.190,0,0,0,0,0,0,0
1,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,1,0,64,997.514,1.023.402,208.563,8.128,272.904,0,0,0,0,0,0,0,0
2,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,0,62,994.252,1.015.312,206.368,7.749,270.628,0,0,0,0,0,0,0,0
1,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,0,62,948.977,1.000.342,203.470,7.886,266.827,0,0,0,0,0,0,0,0
4,for_0_a_100,256,xdpdrv,0.0.0.255,60,1,0,63,949.070,1.012.667,205.617,7.568,270.316,20.242,0,0,0,0,0,0,0
1,for_0_a_100,64,xdpgeneric,0.0.0.255,60,1,0,65,995.268,1.041.705,211.600,7.870,278.058,0,0,0,0,0,0,0,0
4,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,0,65,1.021.480,1.030.151,209.210,7.989,274.590,0,0,0,0,0,0,0,0
1,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,1,0,66,951.978,1.017.048,206.829,7.953,271.283,0,0,0,0,0,0,0,0
1,for_0_a_3200,64,xdpdrv,0.0.0.255,60,1,0,64,947.173,1.009.991,206.031,8.018,269.679,19.221,0,0,0,0,0,0,0
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,0,65,1.836.122,1.015.084,206.543,7.855,270.825,0,0,0,0,0,0,0,0
2,for_0_a_1,1500,xdpdrv,0.0.0.255,60,1,0,64,950.516,1.026.948,209.117,7.411,274.436,20.409,0,0,0,0,0,0,0
1,for_0_a_1600,128,xdpdrv,0.0.0.255,60,1,0,65,979.253,1.031.019,208.601,7.495,274.486,17.774,0,0,0,0,0,0,0
4,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,0,62,931.884,994.557,202.355,7.753,265.327,0,0,0,0,0,0,0,0
1,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,1,0,62,940.831,1.003.525,204.622,7.948,267.599,0,0,0,0,0,0,0,0
1,for_0_a_6400,256,xdpdrv,0.0.0.255,60,1,0,63,941.698,1.018.121,207.065,7.541,271.412,20.071,0,0,0,0,0,0,0
8,for_0_a_400,1024,xdpdrv,0.0.0.255,60,1,0,62,1.306.142,1.013.967,205.878,8.172,270.330,0,0,0,0,0,0,0,0
2,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,0,62,955.923,1.006.042,204.897,7.406,267.946,0,0,0,0,0,0,0,0
1,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,0,65,982.808,1.045.501,212.174,7.707,279.179,0,0,0,0,0,0,0,0
2,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,0,63,1.002.842,1.010.338,206.084,8.005,269.453,16.025,0,0,0,0,0,0,0
2,for_0_a_6400,128,xdpdrv,0.0.0.255,60,1,0,64,956.146,1.032.473,210.234,7.942,275.474,21.820,0,0,0,0,0,0,0
8,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,1,0,64,1.709.187,1.023.405,208.612,7.963,273.257,0,0,0,0,0,0,0,0
