time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,16054621,16172868.77,16094769.56,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,566935,289017.34,377977.36,0.04,2,0
2.000,32152229,16101628.25,16096147.12,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,951044,361010.83,380429.93,0.04,2,0
3.000,48247790,15916336.21,16095762.52,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,1336312,150602.41,381811.92,0.04,2,0
4.000,64347445,16032268.17,16096655.18,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,1721503,699300.70,382563.19,-1435.44,2,0
5.000,80447100,16121918.56,16097182.22,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,2106771,389105.06,383055.02,-1172.93,2,0
6.000,96544708,16109231.13,16097385.99,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,2492090,694444.44,383403.25,-991.57,2,0
7.000,112638222,15936161.93,16096738.09,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,2877370,289855.07,383653.38,-858.79,2,0
8.000,128731736,16075074.60,16096437.70,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,3262745,287356.32,383856.08,-757.35,2,0
9.000,144829344,16059940.38,16096549.52,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,3648198,291545.19,384024.16,-677.33,2,0
10.000,160926952,16167759.26,16096662.62,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,4033438,285714.28,384139.94,-612.63,2,0
11.000,177024560,16162652.98,16096770.16,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,4419019,281690.14,384265.28,-559.17,2,0
12.000,193122168,16088972.73,16096846.19,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,4803000,1265822.78,384242.51,-514.47,2,0
13.000,209219776,16242164.57,16096850.91,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,5188286,221729.49,384319.83,-476.26,2,0
14.000,225313290,16097829.51,16096685.32,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,5573599,273224.04,384388.29,-443.33,2,0
15.000,241410898,16078862.62,16096731.65,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,5958962,409836.07,384451.20,-414.66,2,0
16.000,257502365,16053642.85,16096415.62,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,6344112,689655.18,384493.54,-389.48,2,0
17.000,273602020,16068765.21,16096594.24,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,6729250,132625.99,384530.28,-367.19,2,0
18.000,289701675,15980950.89,16096730.64,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,7114582,208333.33,384573.66,-347.30,2,0
19.000,305797236,16181818.18,16096676.19,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,7499990,411522.63,384616.46,-329.45,2,0
20.000,321892797,16083916.08,16096634.47,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,7885337,179211.47,384652.12,-626.74,2,0
21.000,337988358,15942367.60,16096566.82,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,8270677,182481.75,384684.03,-597.54,2,0
22.000,354077778,16210009.50,16096241.18,0,0.00,0.00,0.00,1,0
