time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,15784417,15942367.60,15852809.19,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,1577928,625000.04,1052002.51,0.01,2,0
2.000,31630244,15875601.03,15850043.37,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,2643236,632911.35,1057324.82,0.01,2,0
3.000,47476071,15767986.44,15848241.65,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,3704316,4838711.16,1058398.04,0.01,2,0
4.000,63319851,15848559.96,15847353.91,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,4770519,628930.81,1060132.26,0.01,2,0
5.000,79163631,15817943.00,15846618.49,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,5836810,636942.58,1061252.26,0.01,2,0
6.000,95005364,15809391.42,15845794.90,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,6900694,554016.62,1061656.76,0.01,2,0
7.000,110845050,15851014.42,15844829.83,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,7963941,1219512.24,1061869.15,0.01,2,0
8.000,126682689,15857153.93,15843872.59,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,9027621,1886791.36,1062082.19,0.01,2,0
9.000,142518281,15899029.13,15843112.07,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,10090222,1197604.74,1062136.69,0.01,2,0
10.000,158355920,15860839.94,15842408.99,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,11154030,653594.69,1062295.87,0.01,2,0
11.000,174191512,15956037.13,15841956.59,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,12217785,1190476.21,1062422.72,0.01,2,0
12.000,190029151,15809391.42,15841510.56,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,13283674,1226993.83,1062700.03,0.01,2,0
13.000,205866790,15837524.22,15841172.75,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,14345238,1853035.57,1062615.99,0.01,2,0
14.000,221702382,15802068.89,15840782.33,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,15410388,1785714.32,1062790.74,0.01,2,0
15.000,237535927,15789879.66,15840398.13,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,16474898,795755.94,1062901.56,0.01,2,0
16.000,253373566,15855925.66,15840122.74,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,17541594,1249999.72,1063131.62,0.01,2,0
17.000,269207111,15847332.97,15839829.02,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,18608307,2259887.10,1063336.18,0.01,2,0
18.000,285044750,15707489.29,15839602.58,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,19675587,177001.95,1063549.42,0.01,2,0
19.000,300880342,15757062.59,15839436.74,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,20741998,613496.92,1063696.15,0.01,2,0
20.000,316717981,15859611.04,15839321.19,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,21807828,621117.91,1063800.21,0.01,2,0
21.000,332553573,15937402.68,15839216.54,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,22872339,641167.37,1063833.30,0.01,2,0
22.000,348391212,15836298.93,15839124.63,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,23936693,632911.35,1063856.44,0.01,2,0
23.000,364226804,15826503.78,15838926.41,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,24999698,384666.35,1063820.15,0.01,2,0
24.000,380062396,15874369.90,15838805.36,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,26063322,1734104.15,1063812.24,0.01,2,0
25.000,395897988,15874369.90,15838720.67,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,27126979,641025.69,1063806.15,0.01,2,0
26.000,411735627,15843653.23,15838608.08,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,28195851,554016.62,1063997.25,0.01,2,0
27.000,427571219,15797190.89,15838530.59,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,29264867,146627.56,1064179.60,0.01,2,0
28.000,443406811,15751000.32,15838442.66,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,30333900,551016.54,1064349.98,0.01,2,0
29.000,459242403,15805729.33,15838361.87,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,31400850,645161.30,1064438.19,0.01,2,0
30.000,475082089,15814276.90,15838402.74,0,0.00,0.00,0.00,1,0
30.500,0,0.00,0.00,32467939,218340.62,1064525.00,0.01,2,0
31.000,490919728,15895325.41,15838373.95,0,0.00,0.00,0.00,1,0
31.500,0,0.00,0.00,33535083,641025.51,1064608.25,0.01,2,0
32.000,506757367,15902734.64,15838352.86,0,0.00,0.00,0.00,1,0
32.500,0,0.00,0.00,34601215,3571428.64,1064655.16,0.01,2,0
33.000,522595006,15902734.59,15838284.21,0,0.00,0.00,0.00,1,0
33.500,0,0.00,0.00,35668966,754716.93,1064747.57,0.01,2,0
34.000,538428551,15831399.90,15838191.09,0,0.00,0.00,0.00,1,0
34.500,0,0.00,0.00,36732780,760456.30,1064720.49,0.01,2,0
35.000,554264143,15792316.02,15838089.93,0,0.00,0.00,0.00,1,0
35.500,0,0.00,0.00,37800091,609756.12,1064793.48,0.01,2,0
36.000,570101782,15841201.06,15838077.38,0,0.00,0.00,0.00,1,0
36.500,0,0.00,0.00,38867632,704225.24,1064868.70,0.01,2,0
37.000,585939421,15858382.39,15838069.50,0,0.00,0.00,0.00,1,0
37.500,0,0.00,0.00,39934959,645161.30,1064934.31,0.01,2,0
38.000,601772966,15954793.49,15837951.99,0,0.00,0.00,0.00,1,0
38.500,0,0.00,0.00,41001892,757575.81,1064986.23,0.01,2,0
39.000,617608558,15857153.93,15837885.24,0,0.00,0.00,0.00,1,0
39.500,0,0.00,0.00,42067925,1274165.29,1065012.74,0.01,2,0
40.000,633446197,15719551.55,15837880.18,0,0.00,0.00,0.00,1,0
40.500,0,0.00,0.00,43134097,645161.30,1065041.33,0.01,2,0
41.000,649281789,15881759.66,15837814.12,0,0.00,0.00,0.00,1,0
41.500,0,0.00,0.00,44202902,1503759.36,1065132.03,0.01,2,0
42.000,665115334,15794753.08,15837738.41,0,0.00,0.00,0.00,1,0
42.500,0,0.00,0.00,45268610,389105.04,1065145.59,0.01,2,0
43.000,680950926,15746153.86,15837698.16,0,0.00,0.00,0.00,1,0
43.500,0,0.00,0.00,46336948,636942.58,1065218.99,0.01,2,0
44.000,696788565,15838749.64,15837675.01,0,0.00,0.00,0.00,1,0
44.500,0,0.00,0.00,47401107,550964.22,1065195.14,0.01,2,0
45.000,712624157,15875601.03,15837643.10,0,0.00,0.00,0.00,1,0
45.500,0,0.00,0.00,48467673,1016949.09,1065225.28,0.01,2,0
46.000,728459749,15778925.46,15837584.33,0,0.00,0.00,0.00,1,0
46.500,0,0.00,0.00,49536085,645161.30,1065293.80,0.01,2,0
47.000,744295341,15778925.46,15837529.96,0,0.00,0.00,0.00,1,0
47.500,0,0.00,0.00,50602152,821917.80,1065310.08,0.01,2,0
48.000,760132980,15934921.40,15837558.05,0,0.00,0.00,0.00,1,0
48.500,0,0.00,0.00,51670186,1818181.50,1065366.26,0.01,2,0
49.000,775970619,15763129.52,15837529.40,0,0.00,0.00,0.00,1,0
49.500,0,0.00,0.00,52736088,775193.80,1065377.07,0.01,2,0
50.000,791806211,15837524.17,15837486.26,0,0.00,0.00,0.00,1,0
50.500,0,0.00,0.00,53802022,819672.14,1065388.05,0.01,2,0
51.000,807641803,15990938.20,15837459.64,0,0.00,0.00,0.00,1,0
51.500,0,0.00,0.00,54868122,1242235.83,1065401.93,0.01,2,0
52.000,823479442,15875601.03,15837476.30,0,0.00,0.00,0.00,1,0
52.500,0,0.00,0.00,55933120,1242235.83,1065394.22,0.01,2,0
53.000,839317081,15763129.52,15837459.57,0,0.00,0.00,0.00,1,0
53.500,0,0.00,0.00,56997978,3636363.01,1065384.22,0.01,2,0
54.000,855152673,15862068.97,15837457.07,0,0.00,0.00,0.00,1,0
54.500,0,0.00,0.00,58061317,2702703.05,1065346.69,0.01,2,0
55.000,870990312,15860839.94,15837446.60,0,0.00,0.00,0.00,1,0
55.500,0,0.00,0.00,59127351,390624.97,1065359.04,0.01,2,0
56.000,886827951,15853469.63,15837433.34,0,0.00,0.00,0.00,1,0
56.500,0,0.00,0.00,60196478,1242502.20,1065425.75,0.01,2,0
57.000,902663543,15822833.71,15837398.91,0,0.00,0.00,0.00,1,0
57.500,0,0.00,0.00,61265313,1851851.16,1065485.06,0.01,2,0
58.000,918497088,15933681.05,15837363.17,0,0.00,0.00,0.00,1,0
58.500,0,0.00,0.00,62335059,387596.90,1065557.85,0.01,2,0
59.000,934332680,15844879.60,15837330.60,0,0.00,0.00,0.00,1,0
59.500,0,0.00,0.00,63402577,1829268.36,1065590.83,0.01,2,0
60.000,950170319,15655831.78,15837326.46,0,0.00,0.00,0.00,1,0
