time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,core,port
1.000,16036198,15990938.20,16084126.12,0,0.00,0.00,1,0
1.500,0,0.00,0.00,140609,11267.61,93740.35,2,0
2.000,32121524,16066242.84,16085226.75,0,0.00,0.00,1,0
2.500,0,0.00,0.00,236992,0.00,94797.61,2,0
3.000,48208897,16081388.97,16085776.18,0,0.00,0.00,1,0
3.500,0,0.00,0.00,333376,0.00,95250.88,2,0
4.000,64296270,16041062.62,16086362.91,0,0.00,0.00,1,0
4.500,0,0.00,0.00,429761,12049.64,95503.86,2,0
5.000,80387737,16032268.16,16087045.84,0,0.00,0.00,1,0
5.500,0,0.00,0.00,526144,0.00,95662.34,2,0
6.000,96475110,16053642.84,16087128.34,0,0.00,0.00,1,0
6.500,0,0.00,0.00,622528,0.00,95774.36,2,0
7.000,112560436,16036036.04,16086875.95,0,0.00,0.00,1,0
7.500,0,0.00,0.00,718976,0.00,95863.83,2,0
8.000,128647809,16102894.92,16087033.76,0,0.00,0.00,1,0
8.500,0,0.00,0.00,815488,0.00,95939.89,2,0
9.000,144735182,16105428.78,16086958.00,0,0.00,0.00,1,0
9.500,0,0.00,0.00,911616,0.00,95959.38,2,0
10.000,160824602,16078862.63,16087220.86,0,0.00,0.00,1,0
10.500,0,0.00,0.00,1007936,0.00,95993.78,2,0
11.000,176911975,15993437.01,16087215.25,0,0.00,0.00,1,0
11.500,0,0.00,0.00,1104256,0.00,96022.22,2,0
12.000,193001395,16080125.68,16087441.51,0,0.00,0.00,1,0
12.500,0,0.00,0.00,1200576,0.00,96045.88,2,0
13.000,209086721,15964748.11,16087249.75,0,0.00,0.00,1,0
13.500,0,0.00,0.00,1296896,0.00,96066.64,2,0
14.000,225174094,16111767.03,16087265.66,0,0.00,0.00,1,0
14.500,0,0.00,0.00,1393156,57537.40,96079.86,2,0
15.000,241263514,16174146.66,16087445.21,0,0.00,0.00,1,0
15.500,0,0.00,0.00,1489472,0.00,96095.11,2,0
16.000,257350887,16115572.35,16087496.01,0,0.00,0.00,1,0
16.500,0,0.00,0.00,1585984,0.00,96120.37,2,0
17.000,273442354,16080125.71,16087628.17,0,0.00,0.00,1,0
17.500,0,0.00,0.00,1682304,0.00,96131.52,2,0
18.000,289525633,16036036.04,16087397.70,0,0.00,0.00,1,0
18.500,0,0.00,0.00,1778624,0.00,96142.17,2,0
19.000,305613006,16242164.56,16087472.44,0,0.00,0.00,1,0
19.500,0,0.00,0.00,1874624,0.00,96134.54,2,0
20.000,321700379,16105428.78,16087442.93,0,0.00,0.00,1,0
20.500,0,0.00,0.00,1971200,0.00,96156.21,2,0
21.000,337787752,16085179.95,16087429.76,0,0.00,0.00,1,0
21.500,0,0.00,0.00,2067584,0.00,96166.79,2,0
22.000,353877172,16042319.77,16087536.94,0,0.00,0.00,1,0
22.500,0,0.00,0.00,2163968,8333333.90,96176.64,2,0
23.000,369966592,16104161.75,16087639.97,0,0.00,0.00,1,0
23.500,0,0.00,0.00,2260288,0.00,96182.37,2,0
24.000,386051918,15998436.89,16087532.29,0,0.00,0.00,1,0
24.500,0,0.00,0.00,2356736,0.00,96193.27,2,0
25.000,402143385,16135897.85,16087667.14,0,0.00,0.00,1,0
25.500,0,0.00,0.00,2453184,0.00,96203.38,2,0
26.000,418232805,16100361.82,16087739.04,0,0.00,0.00,1,0
26.500,0,0.00,0.00,2549505,50479.56,96207.98,2,0
27.000,434320178,16096563.65,16087741.70,0,0.00,0.00,1,0
27.500,0,0.00,0.00,2645888,0.00,96214.09,2,0
28.000,450403457,15969730.06,16087576.56,0,0.00,0.00,1,0
28.500,0,0.00,0.00,2742272,0.00,96220.23,2,0
29.000,466494924,16119379.49,16087699.40,0,0.00,0.00,1,0
29.500,0,0.00,0.00,2838656,0.00,96225.61,2,0
30.000,482580250,16078862.60,16087625.15,0,0.00,0.00,1,0
30.500,0,0.00,0.00,2935104,0.00,96232.87,2,0
31.000,498665576,16189496.99,16087557.60,0,0.00,0.00,1,0
31.500,0,0.00,0.00,3031427,125260.96,96235.97,2,0
32.000,514754996,16017214.40,16087624.51,0,0.00,0.00,1,0
32.500,0,0.00,0.00,3127673,14598539.47,96236.29,2,0
33.000,530842369,16028502.07,16087573.14,0,0.00,0.00,1,0
33.500,0,0.00,0.00,3224000,0.00,96238.75,2,0
34.000,546927695,16032268.16,16087520.54,0,0.00,0.00,1,0
34.500,0,0.00,0.00,3320384,0.00,96242.92,2,0
35.000,563017115,15942367.60,16087611.00,0,0.00,0.00,1,0
35.500,0,0.00,0.00,3416768,0.00,96247.06,2,0
36.000,579102441,16213861.39,16087519.89,0,0.00,0.00,1,0
36.500,0,0.00,0.00,3513152,0.00,96250.77,2,0
37.000,595191861,16174146.66,16087552.73,0,0.00,0.00,1,0
37.500,0,0.00,0.00,3609664,0.00,96257.83,2,0
38.000,611279234,16126999.15,16087579.88,0,0.00,0.00,1,0
38.500,0,0.00,0.00,3705984,0.00,96259.34,2,0
39.000,627364560,16123188.41,16087483.68,0,0.00,0.00,1,0
39.500,0,0.00,0.00,3802434,26730.82,96264.16,2,0
40.000,643445792,16091502.26,16087369.52,0,0.00,0.00,1,0
40.500,0,0.00,0.00,3898688,0.00,96263.90,2,0
41.000,659529071,16002188.89,16087245.21,0,0.00,0.00,1,0
41.500,0,0.00,0.00,3995009,0.00,96265.25,2,0
42.000,675618491,16048608.40,16087302.64,0,0.00,0.00,1,0
42.500,0,0.00,0.00,4091393,0.00,96268.19,2,0
43.000,691707911,16095297.98,16087341.36,0,0.00,0.00,1,0
43.500,0,0.00,0.00,4187841,0.00,96272.18,2,0
44.000,707795284,16120648.92,16087365.09,0,0.00,0.00,1,0
44.500,0,0.00,0.00,4284294,166112.96,96276.42,2,0
45.000,723884704,16213861.39,16087394.42,0,0.00,0.00,1,0
45.500,0,0.00,0.00,4380737,0.00,96280.00,2,0
46.000,739967983,16016004.40,16087304.98,0,0.00,0.00,1,0
46.500,0,0.00,0.00,4477185,0.00,96283.50,2,0
47.000,756057403,16104161.75,16087367.33,0,0.00,0.00,1,0
47.500,0,0.00,0.00,4573697,0.00,96288.30,2,0
48.000,772144776,16217715.09,16087338.54,0,0.00,0.00,1,0
48.500,0,0.00,0.00,4670145,0.00,96291.75,2,0
49.000,788232149,16043577.09,16087354.53,0,0.00,0.00,1,0
49.500,0,0.00,0.00,4766657,0.00,96296.09,2,0
50.000,804319522,16025992.32,16087366.04,0,0.00,0.00,1,0
50.500,0,0.00,0.00,4862977,0.00,96296.63,2,0
51.000,820408942,16106696.04,16087405.64,0,0.00,0.00,1,0
51.500,0,0.00,0.00,4959297,0.00,96297.15,2,0
52.000,836498362,16012202.75,16087443.29,0,0.00,0.00,1,0
52.500,0,0.00,0.00,5055681,0.00,96298.76,2,0
53.000,852589829,16256353.23,16087503.20,0,0.00,0.00,1,0
53.500,0,0.00,0.00,5152065,0.00,96300.23,2,0
54.000,868677202,16097829.49,16087522.38,0,0.00,0.00,1,0
54.500,0,0.00,0.00,5248449,0.00,96301.80,2,0
55.000,884764575,16037292.38,16087490.90,0,0.00,0.00,1,0
55.500,0,0.00,0.00,5344841,152235.97,96303.54,2,0
56.000,900851948,16057420.75,16087499.40,0,0.00,0.00,1,0
56.500,0,0.00,0.00,5441345,0.00,96306.96,2,0
57.000,916941368,16101628.25,16087555.52,0,0.00,0.00,1,0
57.500,0,0.00,0.00,5537731,26842.16,96308.44,2,0
58.000,933032835,16160101.04,16087612.61,0,0.00,0.00,1,0
58.500,0,0.00,0.00,5634177,0.00,96310.69,2,0
59.000,949120208,16134625.99,16087604.41,0,0.00,0.00,1,0
59.500,0,0.00,0.00,5730689,0.00,96314.06,2,0
60.000,965207581,15988440.20,16087597.91,0,0.00,0.00,1,0
