time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,15792605,15922526.45,15863809.87,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,28480,0.00,18986.61,0.6827107295,2,0
2.000,31654808,16039805.67,15863516.34,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,47392,0.00,18956.91,0.4584530249,2,0
3.000,47517011,15765557.61,15862988.29,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,66400,0.00,18971.64,0.3617686670,2,0
4.000,63379214,15785009.26,15862573.63,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,85472,0.00,18993.89,0.3079831304,2,0
5.000,79239370,15789879.67,15862118.82,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,104448,0.00,18990.77,0.2739404611,2,0
6.000,95097479,15887923.01,15861424.33,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,123530,3076923.06,19004.84,0.2501653880,2,0
7.000,110953541,15789879.67,15860621.78,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,142592,0.00,19012.20,0.2328496878,2,0
8.000,126807556,15841201.05,15859919.53,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,161632,0.00,19015.55,0.2196516434,2,0
9.000,142661571,16004691.17,15859191.26,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,180736,0.00,19024.93,0.2090777062,2,0
10.000,158515586,15797190.93,15858670.93,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,199744,0.00,19023.27,0.2006767382,2,0
11.000,174369601,15878063.91,15858209.75,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,218880,0.00,19033.15,0.1936594751,2,0
12.000,190221569,15865757.25,15857773.56,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,237952,0.00,19036.19,0.1877328821,2,0
13.000,206075584,15905205.90,15857462.32,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,256992,0.00,19036.45,0.1827443520,2,0
14.000,221927552,16044834.61,15857115.23,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,276096,0.00,19041.13,0.1784444332,2,0
15.000,237779520,15858382.40,15856789.07,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,295200,0.00,19045.13,0.1746372730,2,0
16.000,253633535,15699056.67,15856524.24,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,314304,0.00,19048.73,0.1713275942,2,0
17.000,269485503,15788661.78,15856232.49,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,333376,0.00,19050.09,0.1684258460,2,0
18.000,285337471,15827727.52,15856092.33,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,352480,0.00,19052.97,0.1657922090,2,0
19.000,301189439,15804508.96,15855879.81,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,371552,0.00,19054.00,0.1634498173,2,0
20.000,317043454,15788661.78,15855718.93,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,390592,0.00,19053.25,0.1613743906,2,0
21.000,332895422,15931200.87,15855547.29,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,409632,0.00,19052.67,0.1594663497,2,0
22.000,348747390,15859611.06,15855433.27,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,428672,0.00,19052.13,0.1577283301,2,0
23.000,364599358,15968484.28,15855262.01,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,447712,0.00,19051.62,0.1561543261,2,0
24.000,380453373,15853469.64,15855163.51,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,466816,0.00,19053.73,0.1546926221,2,0
25.000,396303294,15751000.30,15855017.68,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,485888,0.00,19054.42,0.1533289308,2,0
26.000,412155262,15803288.82,15854890.43,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,504928,0.00,19053.88,0.1520977829,2,0
27.000,428009277,15778925.46,15854813.66,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,524032,0.00,19055.73,0.1509465643,2,0
28.000,443861245,15873138.96,15854705.67,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,543136,0.00,19057.41,0.1498483957,2,0
29.000,459713213,15929961.09,15854670.72,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,562176,0.00,19056.82,0.1488629539,2,0
30.000,475567228,15813055.24,15854595.01,0,0.00,0.00,0.00,1,0
30.500,0,0.00,0.00,581216,0.00,19056.26,0.1479498870,2,0
31.000,491419196,15842427.06,15854547.54,0,0.00,0.00,0.00,1,0
31.500,0,0.00,0.00,600288,0.00,19056.79,0.1470628032,2,0
32.000,507271164,15822833.73,15854472.43,0,0.00,0.00,0.00,1,0
32.500,0,0.00,0.00,619328,0.00,19056.27,0.1462466896,2,0
33.000,523123132,15726797.78,15854394.15,0,0.00,0.00,0.00,1,0
33.500,0,0.00,0.00,638368,0.00,19055.79,0.1454878697,2,0
34.000,538975100,15928721.50,15854324.82,0,0.00,0.00,0.00,1,0
34.500,0,0.00,0.00,657376,0.00,19054.40,0.1447776873,2,0
35.000,554827068,15819165.38,15854251.38,0,0.00,0.00,0.00,1,0
35.500,0,0.00,0.00,676448,0.00,19054.86,0.1440783560,2,0
36.000,570679036,15907677.96,15854201.11,0,0.00,0.00,0.00,1,0
36.500,0,0.00,0.00,695552,0.00,19056.21,0.1434268455,2,0
37.000,586533051,15895325.36,15854193.18,0,0.00,0.00,0.00,1,0
37.500,0,0.00,0.00,714656,0.00,19057.48,0.1428136286,2,0
38.000,602387066,15902734.62,15854160.74,0,0.00,0.00,0.00,1,0
38.500,0,0.00,0.00,733696,0.00,19057.07,0.1422252946,2,0
39.000,618239034,15874369.91,15854134.78,0,0.00,0.00,0.00,1,0
39.500,0,0.00,0.00,752768,0.00,19057.42,0.1416723580,2,0
40.000,634093049,15772846.35,15854109.05,0,0.00,0.00,0.00,1,0
40.500,0,0.00,0.00,771808,0.00,19056.99,0.1411625998,2,0
41.000,649945017,15858382.40,15854071.65,0,0.00,0.00,0.00,1,0
41.500,0,0.00,0.00,790912,0.00,19058.15,0.1406437532,2,0
42.000,665799032,15830175.55,15854066.86,0,0.00,0.00,0.00,1,0
42.500,0,0.00,0.00,810016,0.00,19059.22,0.1401626118,2,0
43.000,681653047,15720758.77,15854035.29,0,0.00,0.00,0.00,1,0
43.500,0,0.00,0.00,829056,0.00,19058.77,0.1397198458,2,0
44.000,697505015,15911387.48,15854003.04,0,0.00,0.00,0.00,1,0
44.500,0,0.00,0.00,848096,0.00,19058.33,0.1392867832,2,0
45.000,713356983,15876832.39,15853977.68,0,0.00,0.00,0.00,1,0
45.500,0,0.00,0.00,867136,0.00,19057.94,0.1388692882,2,0
46.000,729208951,15763129.52,15853941.93,0,0.00,0.00,0.00,1,0
46.500,0,0.00,0.00,886240,0.00,19058.93,0.1384760418,2,0
47.000,745065013,15939884.76,15853946.51,0,0.00,0.00,0.00,1,0
47.500,0,0.00,0.00,905280,0.00,19058.52,0.1380981240,2,0
48.000,760916981,15749788.41,15853928.70,0,0.00,0.00,0.00,1,0
48.500,0,0.00,0.00,924384,0.00,19059.45,0.1377224939,2,0
49.000,776768949,15832624.33,15853904.61,0,0.00,0.00,0.00,1,0
49.500,0,0.00,0.00,943328,0.00,19057.14,0.1373921880,2,0
50.000,792622964,15763129.52,15853885.76,0,0.00,0.00,0.00,1,0
50.500,0,0.00,0.00,962368,0.00,19056.81,0.1370651193,2,0
51.000,808476979,15847332.97,15853873.91,0,0.00,0.00,0.00,1,0
51.500,0,0.00,0.00,981504,0.00,19058.35,0.1367240862,2,0
52.000,824330994,15832624.34,15853885.00,0,0.00,0.00,0.00,1,0
52.500,0,0.00,0.00,1000512,0.00,19057.36,0.1364207981,2,0
53.000,840185009,15932440.85,15853881.50,0,0.00,0.00,0.00,1,0
53.500,0,0.00,0.00,1019584,0.00,19057.64,0.1361317113,2,0
54.000,856036977,15797190.92,15853861.79,0,0.00,0.00,0.00,1,0
54.500,0,0.00,0.00,1038560,0.00,19056.16,0.1358476372,2,0
55.000,871890992,15814276.89,15853873.10,0,0.00,0.00,0.00,1,0
55.500,0,0.00,0.00,1057472,0.00,19053.57,0.1355835655,2,0
56.000,887745007,15772846.36,15853877.51,0,0.00,0.00,0.00,1,0
56.500,0,0.00,0.00,1076416,0.00,19051.62,0.1353331001,2,0
57.000,903599022,15725589.61,15853870.07,0,0.00,0.00,0.00,1,0
57.500,0,0.00,0.00,1095488,0.00,19051.98,0.1350811185,2,0
58.000,919453037,15821610.76,15853864.35,0,0.00,0.00,0.00,1,0
58.500,0,0.00,0.00,1114464,0.00,19050.66,0.1348319019,2,0
59.000,935305005,15890389.69,15853846.10,0,0.00,0.00,0.00,1,0
59.500,0,0.00,0.00,1133408,0.00,19048.89,0.1346043059,2,0
60.000,951161067,15916336.21,15853857.93,0,0.00,0.00,0.00,1,0
