combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
8,for_0_a_0,256,xdpdrv,0.0.0.255,60,269953346,11397380.49,4537036.99,0.001128197
8,for_0_a_0,128,xdpgeneric,0.0.0.255,60,312893051,8333333.3,5258725.3,-7.88531681
8,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,48996976,636942.68,823479.75,0.0008080957
8,for_0_a_0,64,xdpdrv,0.0.0.255,60,737307525,12561334.63,12391777.55,0.0008895836
8,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,71357286,1219768.66,1199283.64,0.0006308139
8,for_0_a_0,128,xdpdrv,0.0.0.255,60,503368991,5263158.44,8459993.6,0.001035457
8,for_0_a_0,1024,xdpdrv,0.0.0.255,60,71356862,1212374.61,1199276.64,0.0009660037
8,for_0_a_0,512,xdpdrv,0.0.0.255,60,140043242,1389554.35,2353671.05,0.0011040161
8,for_0_a_0,256,xdpgeneric,0.0.0.255,60,267692750,8913934.24,4499043.48,0.002153159
8,for_0_a_0,1500,xdpdrv,0.0.0.255,60,49006584,390625.0,823641.16,0.0011784126
8,for_0_a_0,64,xdpgeneric,0.0.0.255,60,314172731,6985294.12,5280228.94,-23.5846402451
8,for_0_a_0,512,xdpgeneric,0.0.0.255,60,140041806,1840880.24,2353646.69,-17.6455122377
8,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,52791124,649350.64,887246.95,0.0738123042
8,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,52758591,2325581.4,886702.35,-140.4450471089
8,for_0_a_3200,256,xdpdrv,0.0.0.255,60,67624320,0.0,1136543.54,0.057884552
8,for_0_a_3200,64,xdpdrv,0.0.0.255,60,67319939,0.0,1131432.47,0.0581015736
8,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,48996232,1136363.66,823467.17,0.0124352309
8,for_0_a_3200,512,xdpdrv,0.0.0.255,60,67428995,91449.47,1133261.73,0.0581234753
8,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,52866758,645304.85,888523.87,-46.6700181131
8,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,48980132,259740.26,823196.49,0.0017918674
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,52755249,629067.26,886645.93,0.0740281007
8,for_0_a_3200,1024,xdpdrv,0.0.0.255,60,67611313,645161.3,1136326.12,0.0579303566
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,52762707,641025.65,886769.33,-46.7621386468
8,for_0_a_3200,128,xdpdrv,0.0.0.255,60,67569713,8479532.2,1135629.95,0.0579007203
8,for_0_a_6400,512,xdpdrv,0.0.0.255,60,30450689,0.0,511776.75,0.1283356105
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,27501926,393700.78,462218.02,0.1416037109
8,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,30428627,641025.65,511406.17,0.1285282498
8,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,27495380,1786814.53,462107.86,0.1416729738
8,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,27434679,595238.11,461087.63,0.1418180641
8,for_0_a_6400,64,xdpdrv,0.0.0.255,60,30445957,34234.85,511698.66,0.1282604532
8,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,27457778,657894.76,461475.84,-89.8580454582
8,for_0_a_6400,128,xdpdrv,0.0.0.255,60,30387905,0.0,510722.67,0.1285246144
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,27451458,174216.03,461369.59,-269.9196434638
8,for_0_a_6400,256,xdpdrv,0.0.0.255,60,30451393,45745.65,511788.61,0.1282784023
8,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,27498302,217864.92,462158.78,-89.725552174
8,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,30353153,19916.35,510137.49,0.128889898
8,for_0_a_400,256,xdpdrv,0.0.0.255,60,269919603,1242236.0,4536469.46,0.0023455611
8,for_0_a_400,128,xdpdrv,0.0.0.255,60,424227133,13533835.42,7129876.5,0.0093426862
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,213553406,9756097.26,3589137.3,-11.5534358148
8,for_0_a_400,1500,xdpdrv,0.0.0.255,60,49005738,387596.9,823626.83,0.0012032184
8,for_0_a_400,64,xdpdrv,0.0.0.255,60,425620594,13600000.34,7153298.03,0.0092953736
8,for_0_a_400,256,xdpgeneric,0.0.0.255,60,214307927,1031019.47,3601818.42,0.0183049028
8,for_0_a_400,1024,xdpdrv,0.0.0.255,60,71356630,653594.79,1199276.05,0.0010406539
8,for_0_a_400,512,xdpdrv,0.0.0.255,60,140045003,2127659.56,2353700.59,0.0009321462
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,213051949,641025.63,3580709.71,-34.7786678696
8,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,71356880,1734449.79,1199277.09,0.0009183608
8,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,49006642,384615.38,823642.09,0.0008938596
8,for_0_a_400,512,xdpgeneric,0.0.0.255,60,140015061,1498127.33,2353198.37,-17.6488936708
8,for_0_a_1,64,xdpgeneric,0.0.0.255,60,315335665,2717391.33,5299772.37,-23.4976615118
8,for_0_a_1,64,xdpdrv,0.0.0.255,60,742368459,12838959.64,12476796.18,0.0008871843
8,for_0_a_1,256,xdpgeneric,0.0.0.255,60,269870296,636942.68,4535641.03,0.000484235
8,for_0_a_1,256,xdpdrv,0.0.0.255,60,269955909,617283.94,4537079.94,0.0008543292
8,for_0_a_1,1024,xdpdrv,0.0.0.255,60,71355715,1829268.36,1199257.35,0.0011576861
8,for_0_a_1,512,xdpgeneric,0.0.0.255,60,140046680,2958579.92,2353737.13,-17.6450521214
8,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,71347841,1169826.58,1199125.06,0.0008266333
8,for_0_a_1,128,xdpdrv,0.0.0.255,60,503377491,3418803.7,8460136.65,0.0008530612
8,for_0_a_1,1500,xdpdrv,0.0.0.255,60,49005644,653594.79,823625.6,0.0019762185
8,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,49006018,613496.92,823631.88,0.0011294012
8,for_0_a_1,512,xdpdrv,0.0.0.255,60,140046961,7291666.06,2353734.34,0.0004435405
8,for_0_a_1,128,xdpgeneric,0.0.0.255,60,312809167,11000000.03,5257303.63,-7.887432442
8,for_0_a_800,256,xdpgeneric,0.0.0.255,60,146769578,3703703.49,2466724.91,0.0266620692
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,49006623,386100.38,823644.69,0.0008550088
8,for_0_a_800,512,xdpdrv,0.0.0.255,60,140026399,624999.99,2353388.04,0.0044635822
8,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,71342161,1162790.7,1199029.69,0.0009047957
8,for_0_a_800,64,xdpdrv,0.0.0.255,60,228243331,8943089.36,3836027.17,0.017226688
8,for_0_a_800,1500,xdpdrv,0.0.0.255,60,48995991,641025.65,823463.21,0.0013384367
8,for_0_a_800,256,xdpdrv,0.0.0.255,60,227762797,624999.99,3827951.31,0.0173128044
8,for_0_a_800,128,xdpdrv,0.0.0.255,60,227880769,15929203.72,3829962.39,0.0172655413
8,for_0_a_800,128,xdpgeneric,0.0.0.255,60,146509012,1851851.94,2462345.29,-16.8404899986
8,for_0_a_800,64,xdpgeneric,0.0.0.255,60,146192983,4166666.65,2457029.86,-50.6841759333
8,for_0_a_800,512,xdpgeneric,0.0.0.255,60,139957043,3636363.38,2352222.22,-17.6524983227
8,for_0_a_800,1024,xdpdrv,0.0.0.255,60,71356606,653594.74,1199272.22,0.0012135498
8,for_0_a_12800,512,xdpdrv,0.0.0.255,60,17226051,19786.31,289513.47,0.2264979726
8,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,16507792,114416.48,277442.21,0.2354632035
8,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,17201537,10027.07,289101.52,0.2269015641
8,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,16516779,784313.72,277593.26,0.2353665646
8,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,16500941,222734.25,277327.1,0.2354983684
8,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,16476321,149925.04,276913.26,-449.7176359898
8,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,17222403,518134.7,289452.54,0.2266693934
8,for_0_a_12800,256,xdpdrv,0.0.0.255,60,17208384,0.0,289216.82,0.2266906052
8,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,16511209,536193.03,277499.62,-149.4322214445
8,for_0_a_12800,128,xdpdrv,0.0.0.255,60,17224641,0.0,289489.7,0.2264592134
8,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,16513928,289855.07,277545.35,-149.4075630633
8,for_0_a_12800,64,xdpdrv,0.0.0.255,60,17223812,10552.98,289476.08,0.2264474362
8,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,49006710,641025.65,823645.48,0.0008360533
8,for_0_a_100,128,xdpgeneric,0.0.0.255,60,279059236,3684210.58,4690077.09,-8.8413723762
8,for_0_a_100,256,xdpgeneric,0.0.0.255,60,268760259,387596.9,4516984.52,0.004419563
8,for_0_a_100,128,xdpdrv,0.0.0.255,60,503427317,6382978.29,8460974.23,0.0012702791
8,for_0_a_100,64,xdpdrv,0.0.0.255,60,741344875,12500000.08,12459592.97,0.0009589779
8,for_0_a_100,256,xdpdrv,0.0.0.255,60,269955750,7246375.84,4537077.16,0.0010284466
8,for_0_a_100,1500,xdpdrv,0.0.0.255,60,49007334,387596.9,823653.7,0.0009868067
8,for_0_a_100,1024,xdpdrv,0.0.0.255,60,71356555,649350.66,1199271.3,0.0010938152
