time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,4605750,4645410.19,4669147.92,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,1511005,1886792.57,1007382.40,0.00,2,0
2.000,9264722,4666271.54,4663504.63,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,2537378,1754385.97,1014978.99,0.00,2,0
3.000,13917553,4648152.77,4659973.11,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,3564933,277777.78,1018571.40,0.00,2,0
4.000,18568337,4652378.46,4657551.96,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,4594044,130718.95,1020913.49,0.00,2,0
5.000,23215027,4642670.84,4655613.17,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,5622979,3448275.83,1022372.48,0.00,2,0
6.000,27861717,4648156.41,4654037.19,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,6657168,1886792.37,1024190.48,0.00,2,0
7.000,32504313,4648258.32,4652330.51,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,7694429,1257861.63,1025933.10,0.00,2,0
8.000,37146909,4646675.60,4651016.80,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,8732714,1234567.92,1027386.24,0.00,2,0
9.000,41787458,4676612.37,4649990.66,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,9770088,1242236.05,1028437.59,0.00,2,0
10.000,46428007,4626197.79,4648994.49,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,10808579,641167.37,1029395.06,0.00,2,0
11.000,51068556,4638672.98,4648260.01,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,11846941,1266099.09,1030174.78,0.00,2,0
12.000,55709105,4657883.36,4647644.41,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,12885632,1785714.32,1030856.20,0.00,2,0
13.000,60349654,4628708.39,4647117.30,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,13924152,636942.68,1031423.79,0.00,2,0
14.000,64990203,4621706.44,4646655.70,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,14963249,1183431.93,1031953.02,0.00,2,0
15.000,69630752,4630278.90,4646198.49,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,16002096,641025.65,1032397.77,0.00,2,0
16.000,74271301,4639833.17,4645790.99,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,17035507,653742.12,1032459.19,0.00,2,0
17.000,78909803,4641197.14,4645368.64,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,18073905,645161.30,1032798.53,0.00,2,0
18.000,83546258,4653859.27,4644960.00,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,19112380,150829.56,1033105.27,0.00,2,0
19.000,88184760,4627557.36,4644556.84,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,20151002,653594.79,1033388.30,0.00,2,0
20.000,92823262,4631536.08,4644238.48,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,21188680,1219768.66,1033597.59,0.00,2,0
21.000,97459717,4641411.24,4643908.04,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,22227120,1257861.63,1033822.75,0.00,2,0
22.000,102096172,4629755.28,4643540.00,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,23265622,1183431.97,1034030.78,0.00,2,0
23.000,106730580,4649102.88,4643199.18,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,24304182,1257861.63,1034223.51,0.00,2,0
24.000,111367035,4647625.10,4642847.87,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,25342944,1785714.32,1034408.77,0.00,2,0
25.000,116001443,4632898.79,4642575.84,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,26379500,1863354.07,1034492.92,0.00,2,0
26.000,120637898,4693662.30,4642341.64,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,27413382,641025.65,1034469.88,0.00,2,0
27.000,125274353,4657671.39,4642091.57,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,28451737,1612903.28,1034611.18,0.00,2,0
28.000,129908761,4627138.95,4641829.38,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,29489670,1257861.63,1034727.73,0.00,2,0
29.000,134543169,4618473.90,4641557.61,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,30528124,115473.44,1034853.78,0.00,2,0
