time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,8982236,9004530.87,9049642.53,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,302902,131233.59,201943.63,0.02,2,0
2.000,18017694,8972167.45,9042724.94,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,508600,179856.12,203445.49,0.02,2,0
3.000,27040870,9010872.91,9036480.63,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,714430,73152.89,204126.60,0.02,2,0
4.000,36057905,9092524.31,9031666.51,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,920356,219298.25,204526.63,0.02,2,0
5.000,45072893,8974934.65,9028136.28,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,1126251,280898.87,204775.48,0.02,2,0
6.000,54083787,8985163.73,9025420.54,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,1332264,218818.39,204965.88,0.02,2,0
7.000,63094681,9032742.04,9023343.05,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,1537542,130718.95,205007.50,0.02,2,0
8.000,72105575,9014841.23,9021751.34,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,1743113,218340.60,205073.79,0.02,2,0
9.000,81114422,8981615.55,9020188.99,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,1948702,392156.88,205128.07,0.02,2,0
10.000,90119175,9011269.60,9018669.79,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,2154306,178571.43,205173.35,0.02,2,0
11.000,99121881,9002550.79,9017213.07,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,2360016,218340.60,205219.99,0.02,2,0
12.000,108122540,9018415.71,9015848.53,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,2565758,72939.46,205261.66,0.02,2,0
13.000,117119105,9039922.27,9014365.76,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,2771451,178571.43,205293.71,0.02,2,0
14.000,126111576,9052315.04,9012854.35,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,2977184,218340.62,205324.01,0.02,2,0
15.000,135104047,8987530.73,9011472.65,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,3182930,178890.88,205351.26,0.02,2,0
16.000,144096518,8980039.48,9010220.53,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,3388683,217391.30,205375.61,0.02,2,0
17.000,153086942,8945896.33,9009132.67,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,3593871,349650.32,205364.87,0.02,2,0
18.000,162079413,8982797.95,9008172.83,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,3799550,72939.46,205381.85,0.02,2,0
19.000,171069837,8936523.18,9007285.76,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,4005412,218340.62,205406.47,0.02,2,0
20.000,180060261,9037527.60,9006428.64,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,4211261,217864.92,205428.06,0.02,2,0
21.000,189050685,8967057.99,9005644.48,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,4417218,277777.77,205452.66,0.02,2,0
22.000,198043156,8911235.91,9004985.38,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,4623310,130890.06,205481.05,0.02,2,0
23.000,207031533,8997406.72,9004350.53,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,4829433,218818.39,205508.41,0.02,2,0
24.000,216021957,9025573.20,9003716.37,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,5035514,218818.39,205531.76,0.02,2,0
25.000,225010334,8957248.49,9003116.09,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,5241626,179211.47,205554.50,0.02,2,0
26.000,233998711,8998197.73,9002541.09,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,5447723,178890.88,205574.98,0.02,2,0
27.000,242987088,8974527.59,9002015.95,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,5653642,255754.47,205587.50,0.02,2,0
28.000,251975465,8992268.49,9001520.97,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,5859153,218818.39,205584.81,0.02,2,0
29.000,260963842,8986347.08,9001059.67,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,6065446,116009.28,205608.82,0.02,2,0
30.000,269952219,8999780.18,9000645.66,0,0.00,0.00,0.00,1,0
30.500,0,0.00,0.00,6271731,219298.25,205631.00,0.02,2,0
31.000,278938549,8995429.78,9000217.36,0,0.00,0.00,0.00,1,0
31.500,0,0.00,0.00,6478070,151745.07,205653.46,0.02,2,0
32.000,287926926,8998211.36,8999836.42,0,0.00,0.00,0.00,1,0
32.500,0,0.00,0.00,6684420,219298.25,205674.91,0.02,2,0
33.000,296915303,8987136.14,8999461.72,0,0.00,0.00,0.00,1,0
33.500,0,0.00,0.00,6890778,216450.20,205695.30,0.02,2,0
34.000,305901633,9022788.38,8999100.90,0,0.00,0.00,0.00,1,0
34.500,0,0.00,0.00,7097146,217391.30,205714.79,0.02,2,0
35.000,314887963,9007304.41,8998725.68,0,0.00,0.00,0.00,1,0
35.500,0,0.00,0.00,7303602,178253.13,205735.66,0.02,2,0
36.000,323874293,9000571.60,8998359.83,0,0.00,0.00,0.00,1,0
36.500,0,0.00,0.00,7510056,179856.12,205755.34,0.02,2,0
37.000,332858576,9041918.81,8998025.16,0,0.00,0.00,0.00,1,0
37.500,0,0.00,0.00,7716493,280112.05,205773.54,0.02,2,0
38.000,341844906,9019607.84,8997700.28,0,0.00,0.00,0.00,1,0
38.500,0,0.00,0.00,7922300,151975.68,205774.40,0.02,2,0
39.000,350831236,9015635.33,8997381.79,0,0.00,0.00,0.00,1,0
39.500,0,0.00,0.00,8128567,393700.79,205786.88,0.02,2,0
40.000,359813472,9051114.25,8997025.63,0,0.00,0.00,0.00,1,0
40.500,0,0.00,0.00,8334785,280112.05,205797.51,0.02,2,0
41.000,368791614,8932233.72,8996575.12,0,0.00,0.00,0.00,1,0
41.500,0,0.00,0.00,8541225,151523.07,205812.99,0.02,2,0
42.000,377769756,8943160.47,8996124.05,0,0.00,0.00,0.00,1,0
42.500,0,0.00,0.00,8747652,150829.55,205827.43,0.02,2,0
43.000,386747898,9011666.31,8995710.34,0,0.00,0.00,0.00,1,0
43.500,0,0.00,0.00,8954193,280898.87,205843.85,0.02,2,0
44.000,395726040,9031546.43,8995311.17,0,0.00,0.00,0.00,1,0
44.500,0,0.00,0.00,9160897,217391.30,205863.16,0.02,2,0
45.000,404704182,8897292.14,8994935.14,0,0.00,0.00,0.00,1,0
45.500,0,0.00,0.00,9367490,282485.89,205879.22,0.02,2,0
46.000,413682324,8938084.01,8994557.92,0,0.00,0.00,0.00,1,0
46.500,0,0.00,0.00,9574008,282485.85,205892.95,0.02,2,0
47.000,422660466,8968236.58,8994191.26,0,0.00,0.00,0.00,1,0
47.500,0,0.00,0.00,9780471,281690.16,205904.95,0.02,2,0
48.000,431636561,8947069.38,8993821.54,0,0.00,0.00,0.00,1,0
48.500,0,0.00,0.00,9983622,115740.74,205848.16,0.02,2,0
49.000,440612656,8997802.19,8993486.04,0,0.00,0.00,0.00,1,0
49.500,0,0.00,0.00,10189590,131406.04,205850.57,0.02,2,0
50.000,449590798,9008097.18,8993166.99,0,0.00,0.00,0.00,1,0
50.500,0,0.00,0.00,10395472,280898.90,205851.22,0.02,2,0
51.000,458566893,8954114.00,8992848.84,0,0.00,0.00,0.00,1,0
51.500,0,0.00,0.00,10601464,216919.74,205853.96,0.02,2,0
52.000,467545035,8952547.57,8992530.67,0,0.00,0.00,0.00,1,0
52.500,0,0.00,0.00,10807473,218340.62,205856.91,0.02,2,0
53.000,476521130,9054317.05,8992247.00,0,0.00,0.00,0.00,1,0
53.500,0,0.00,0.00,11013486,178582.44,205859.82,0.02,2,0
54.000,485499272,9045115.11,8991970.49,0,0.00,0.00,0.00,1,0
54.500,0,0.00,0.00,11219523,279329.62,205863.07,0.02,2,0
55.000,494477414,9004134.77,8991711.02,0,0.00,0.00,0.00,1,0
55.500,0,0.00,0.00,11425615,146198.83,205867.18,0.02,2,0
56.000,503453509,8969808.51,8991439.75,0,0.00,0.00,0.00,1,0
56.500,0,0.00,0.00,11631732,151975.68,205871.62,0.02,2,0
