time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,8834852,8884163.01,8898669.61,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,1947259,4705882.40,1298316.20,0.02,2,0
2.000,17712691,8855721.39,8888006.94,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,3268462,1257861.63,1307471.86,0.02,2,0
3.000,26576201,8855338.29,8880185.41,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,4589838,1852246.12,1311444.48,0.02,2,0
4.000,35435617,8840423.24,8874736.87,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,5911712,1886792.37,1313762.42,0.02,2,0
5.000,44292986,8861855.49,8871281.93,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,7221046,1226993.88,1312957.07,0.02,2,0
6.000,53146261,8794844.25,8868348.42,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,8541712,389157.27,1314142.89,0.02,2,0
7.000,61997489,8900000.00,8866021.69,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,9862830,1960784.29,1315073.16,0.02,2,0
8.000,70850764,8848461.36,8864258.70,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,11183805,540641.31,1315767.38,0.02,2,0
9.000,79699945,8834318.76,8862697.15,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,12504680,1234567.92,1316304.98,0.02,2,0
10.000,88549126,8838133.07,8861336.55,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,13825306,757575.76,1316716.42,0.02,2,0
11.000,97396260,8879153.29,8860071.56,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,15145977,1734104.04,1317060.56,0.02,2,0
12.000,106241347,8811501.87,8858728.86,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,16467400,1818181.80,1317409.40,0.02,2,0
13.000,115082340,8815296.50,8857437.91,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,17788136,552486.18,1317655.86,0.02,2,0
14.000,123923333,8829365.08,8856266.84,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,19108955,1423487.57,1317873.91,0.02,2,0
15.000,132766373,8809226.66,8855332.07,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,20418621,1851851.94,1317344.51,0.02,2,0
16.000,141605319,8883777.45,8854356.56,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,21739410,624999.99,1317553.21,0.02,2,0
17.000,150446312,8855721.39,8853532.59,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,23059082,1886792.57,1317674.35,0.02,2,0
18.000,159287305,8849213.21,8852788.89,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,24379914,641025.65,1317845.04,-101.34,2,0
