time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,4677395,4746556.60,4739570.63,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,894207,1851851.94,596165.88,0.03,2,0
2.000,9408012,4722792.61,4735233.16,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,1500990,649350.66,600412.84,0.02,2,0
3.000,14134535,4706071.68,4732420.67,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,2113721,38669.76,603930.21,0.02,2,0
4.000,18856964,4716372.52,4729887.09,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,2725274,74295.16,605624.24,0.02,2,0
5.000,23577346,4749089.39,4727866.99,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,3334996,1282051.25,606370.58,0.01,2,0
6.000,28295681,4730979.01,4726457.10,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,3941547,1132075.45,606398.18,0.01,2,0
7.000,33014016,4712246.78,4725335.33,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,4548487,645161.30,606470.61,0.01,2,0
8.000,37732351,4712680.73,4724298.76,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,5159126,41946.31,606960.85,0.01,2,0
9.000,42448639,4711053.83,4723464.89,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,5768310,37230.08,607193.40,0.01,2,0
10.000,47164927,4708561.44,4722790.27,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,6373200,1249999.99,606975.49,0.01,2,0
11.000,51883262,4701423.98,4722346.45,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,6976836,41614.65,606685.08,0.01,2,0
12.000,56599550,4698510.34,4721826.32,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,7587701,386151.80,607019.48,0.01,2,0
13.000,61313791,4710295.00,4721276.16,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,8203204,30330.60,607646.77,0.01,2,0
14.000,66032126,4725845.55,4721130.38,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,8785340,31308.70,605887.45,0.01,2,0
15.000,70750461,4704449.35,4720872.22,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,9377308,38610.55,604990.08,0.01,2,0
16.000,75468796,4708669.75,4720677.96,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,9970099,649350.66,604250.98,0.01,2,0
17.000,80185084,4722683.65,4720442.51,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,10563516,40112.31,603631.76,0.01,2,0
18.000,84901372,4709644.76,4720205.35,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,11156934,645161.28,603079.79,0.01,2,0
19.000,89615613,4694738.77,4719962.40,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,11748982,591715.98,602514.07,0.01,2,0
