combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
1,for_0_a_0,64,xdpgeneric,0.0.0.255,60,52524513,72992.7,882768.33,-277.88
4,for_0_a_0,512,xdpgeneric,0.0.0.255,60,35327174,649350.66,593734.79,0.0
4,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,12346101,22168.03,207497.74,0.0
8,for_0_a_0,128,xdpgeneric,0.0.0.255,60,39935958,387596.9,671198.41,-61.87
2,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,35731193,37216.23,600524.9,0.0
8,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,6061453,12903.23,101873.25,0.0
4,for_0_a_0,128,xdpgeneric,0.0.0.255,60,40415006,1234567.92,679244.88,-61.14
4,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,17790892,31220.73,299006.94,0.0
2,for_0_a_0,128,xdpgeneric,0.0.0.255,60,45403999,1734104.04,763093.34,-54.42
8,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,8879952,11024.14,149242.99,0.0
1,for_0_a_0,128,xdpgeneric,0.0.0.255,60,49448419,1886792.57,831066.83,-195.22
1,for_0_a_0,512,xdpgeneric,0.0.0.255,60,46690489,2900000.02,784718.17,0.01
1,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,41822013,649350.66,702891.79,-85.86
4,for_0_a_0,256,xdpgeneric,0.0.0.255,60,38255573,636942.68,642951.57,0.01
2,for_0_a_0,256,xdpgeneric,0.0.0.255,60,43431598,56242.97,729944.87,0.01
1,for_0_a_0,256,xdpgeneric,0.0.0.255,60,47968814,637082.6,806201.32,0.01
4,for_0_a_0,64,xdpgeneric,0.0.0.255,60,44136180,740740.75,741787.07,-167.97
1,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,44700074,1818181.88,751262.83,-160.67
2,for_0_a_0,64,xdpgeneric,0.0.0.255,60,47502599,598802.39,798363.99,-156.06
8,for_0_a_0,256,xdpgeneric,0.0.0.255,60,33226585,584795.32,558430.69,0.0
8,for_0_a_0,64,xdpgeneric,0.0.0.255,60,37747462,375939.85,634411.88,-196.39
8,for_0_a_0,512,xdpgeneric,0.0.0.255,60,17287787,36199.1,290551.33,0.0
2,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,24537356,633049.55,412393.04,0.0
2,for_0_a_0,512,xdpgeneric,0.0.0.255,60,39972122,645161.28,671801.22,0.01
8,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,3289110,0.0,55279.17,0.06
1,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,3311697,0.0,55658.81,0.06
1,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,3274874,0.0,55039.89,-754.55
2,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,3248736,0.0,54600.8,0.06
8,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,2994865,0.0,50333.92,-825.11
1,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,3283937,0.0,55192.41,0.05
2,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,3286461,0.0,55234.69,0.05
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,3311457,0.0,55654.72,0.05
2,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,3272185,0.0,54994.74,-755.18
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,3270649,0.0,54969.13,-755.53
4,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,3249396,0.0,54611.7,-760.47
4,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,3165709,0.0,53205.44,0.06
4,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,3235210,0.0,54373.27,0.05
4,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,3002189,0.0,50456.97,0.06
2,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,3273134,0.0,55010.71,0.05
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,3310017,0.0,55630.57,-746.52
4,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1688896,0.0,28384.84,-1463.14
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1683725,0.0,28297.96,0.1
8,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1534942,0.0,25797.37,0.11
4,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1686637,0.0,28346.92,0.1
1,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1704003,33065.14,28638.71,0.1
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1704433,0.0,28646.01,-1449.78
4,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1682190,0.0,28272.1,0.1
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1685791,0.0,28332.65,0.1
8,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1555790,0.0,26147.76,0.11
1,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1698592,0.0,28547.79,0.1
4,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1658249,0.0,27869.76,0.1
1,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1704225,0.0,28642.45,0.1
2,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1685101,0.0,28321.03,-1466.44
2,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1683982,10233.32,28302.23,0.1
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1561766,0.0,26248.17,-1582.26
2,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1690385,0.0,28409.86,-1461.87
2,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1690511,11031.44,28411.96,0.1
1,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1706400,0.0,28679.02,0.1
2,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1696045,0.0,28504.99,0.1
4,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1686752,0.0,28348.88,-1465.02
1,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1697504,0.0,28529.49,0.1
8,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1524948,0.0,25629.38,-1620.45
1,for_0_a_400,256,xdpgeneric,0.0.0.255,60,19078294,1242236.0,320643.98,-376.45
2,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,24472965,56338.03,411310.72,0.0
4,for_0_a_400,512,xdpgeneric,0.0.0.255,60,17385984,11412.92,292201.65,-142.13
1,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,18009738,11821.73,302684.97,-398.79
2,for_0_a_400,512,xdpgeneric,0.0.0.255,60,17236445,12406.95,289688.41,0.01
4,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,17823152,1249999.99,299549.34,0.0
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,15249740,10551.86,256299.13,0.02
4,for_0_a_400,256,xdpgeneric,0.0.0.255,60,16930243,11827.32,284542.32,0.01
4,for_0_a_400,64,xdpgeneric,0.0.0.255,60,18711370,1273885.35,314477.66,-132.06
2,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,17102763,11966.07,287441.66,0.01
1,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,18232432,1886792.57,306427.79,0.01
8,for_0_a_400,256,xdpgeneric,0.0.0.255,60,15548432,3076923.33,261318.5,0.01
2,for_0_a_400,256,xdpgeneric,0.0.0.255,60,18636525,1612903.13,313219.29,0.01
4,for_0_a_400,128,xdpgeneric,0.0.0.255,60,17983960,12573.87,302251.53,0.01
1,for_0_a_400,512,xdpgeneric,0.0.0.255,60,18949157,1190476.13,318473.6,0.01
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,15573034,11153.25,261732.64,-317.36
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,18743942,1265822.81,315025.35,-263.67
8,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,8865714,33311.13,149003.75,0.0
4,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,12353012,28514.4,207613.93,0.0
8,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,6059895,13991.88,101847.08,0.0
1,for_0_a_400,128,xdpgeneric,0.0.0.255,60,19249419,12898.23,323519.98,-501.48
8,for_0_a_400,512,xdpgeneric,0.0.0.255,60,17303012,115211.95,290808.18,0.0
2,for_0_a_400,128,xdpgeneric,0.0.0.255,60,18582176,12481.28,312306.8,0.01
1,for_0_a_400,64,xdpgeneric,0.0.0.255,60,19272165,13053.13,323903.02,-256.44
8,for_0_a_1,64,xdpgeneric,0.0.0.255,60,42128494,641025.65,708042.8,-175.97
2,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,24538110,641025.65,412405.72,0.0
1,for_0_a_1,64,xdpgeneric,0.0.0.255,60,52178418,757575.76,876949.21,-142.08
1,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,42467533,629067.23,713743.65,-169.12
4,for_0_a_1,128,xdpgeneric,0.0.0.255,60,41528618,763358.77,697960.78,-59.5
4,for_0_a_1,512,xdpgeneric,0.0.0.255,60,35323793,276243.09,593677.85,0.0
1,for_0_a_1,128,xdpgeneric,0.0.0.255,60,49452572,757575.76,831136.66,-195.2
4,for_0_a_1,64,xdpgeneric,0.0.0.255,60,45723865,1212121.21,768470.59,-162.13
2,for_0_a_1,512,xdpgeneric,0.0.0.255,60,41545345,48123.2,698241.96,0.01
1,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,44575233,645161.3,749164.45,0.01
4,for_0_a_1,256,xdpgeneric,0.0.0.255,60,38604639,1851851.94,648818.25,0.01
8,for_0_a_1,256,xdpgeneric,0.0.0.255,60,33361818,279329.61,560703.48,0.0
2,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,35733376,93632.96,600561.64,0.0
2,for_0_a_1,64,xdpgeneric,0.0.0.255,60,47503660,392156.86,798381.81,-156.06
8,for_0_a_1,512,xdpgeneric,0.0.0.255,60,17301507,19546.65,290781.8,0.0
4,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,17845668,28595.94,299927.41,0.0
8,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,8893099,22197.56,149464.21,0.0
8,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,6051781,24838.55,101710.88,0.0
2,for_0_a_1,256,xdpgeneric,0.0.0.255,60,45249194,1675977.65,760491.55,0.01
1,for_0_a_1,256,xdpgeneric,0.0.0.255,60,47607027,1250000.03,800119.06,-150.86
