combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,0,64,969.737,1.003.941,204.369,7.859,267.872,21.654,0,0,0,0,0,0,0
4,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1,0,63,1.102.978,1.004.164,204.544,7.686,267.734,9.586,0,0,0,0,0,0,0
8,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,0,64,1.727.044,1.009.454,205.922,7.742,269.193,0,0,0,0,0,0,0,0
2,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1,0,63,993.601,1.020.371,207.160,7.600,271.914,20.629,0,0,0,0,0,0,0
4,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,1,0,64,1.036.954,1.035.951,211.125,7.737,276.582,21.714,0,0,0,0,0,0,0
8,for_0_a_0,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.545.273,1.028.074,209.173,7.782,274.653,0,0,0,0,0,0,0,0
2,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,0,65,1.006.495,1.037.286,211.178,7.813,276.892,20.378,0,0,0,0,0,0,0
1,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,0,64,979.084,1.017.350,206.633,7.545,271.682,20.833,0,0,0,0,0,0,0
2,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,0,64,1.622.110,1.729.513,329.678,8.340,486.935,0,0,0,0,0,0,0,0
2,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,0,64,995.262,1.029.352,209.368,7.692,274.944,19.938,0,0,0,0,0,0,0
4,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,0,63,1.942.619,1.824.465,347.157,9.270,507.621,35.574,0,0,0,0,0,0,0
1,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.022.296,1.038.963,211.290,7.935,277.254,0,0,0,0,0,0,0,0
4,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,0,64,1.530.268,1.244.403,247.786,8.381,339.447,0,0,0,0,0,0,0,0
4,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,0,64,1.016.791,1.013.344,206.475,7.803,270.241,20.126,0,0,0,0,0,0,0
8,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,0,63,1.750.784,1.010.817,205.253,8.191,269.353,0,0,0,0,0,0,0,0
2,for_0_a_0,64,xdpgeneric,0.0.0.255,60,1,0,63,982.567,1.015.393,206.708,7.776,270.756,23.172,0,0,0,0,0,0,0
4,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.014.969,1.026.006,208.908,7.778,274.187,22.212,0,0,0,0,0,0,0
1,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,1,0,64,1.026.179,1.036.271,209.842,8.303,275.771,30.969,0,0,0,0,0,0,0
1,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,1,0,62,1.011.742,1.012.416,206.025,8.064,270.184,19.701,0,0,0,0,0,0,0
8,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,0,64,1.808.259,1.018.418,206.420,7.851,272.094,0,0,0,0,0,0,0,0
1,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,0,64,982.236,1.004.602,204.488,7.702,268.049,9.342,0,0,0,0,0,0,0
8,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,0,64,1.849.187,1.039.054,211.584,8.138,277.800,0,0,0,0,0,0,0,0
2,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,1,0,63,998.559,1.012.790,206.033,7.978,269.903,0,0,0,0,0,0,0,0
8,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,0,62,1.658.001,988.234,201.474,7.732,263.699,0,0,0,0,0,0,0,0
2,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,0,63,994.387,1.008.671,205.736,7.572,268.895,20.927,0,0,0,0,0,0,0
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,0,63,982.883,1.005.431,204.546,8.004,268.202,25.730,0,0,0,0,0,0,0
4,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,0,64,1.009.836,1.005.108,204.679,7.830,268.180,18.928,0,0,0,0,0,0,0
4,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1,0,62,1.305.206,994.574,202.484,7.554,265.116,0,0,0,0,0,0,0,0
2,for_0_a_1,64,xdpgeneric,0.0.0.255,60,1,0,62,978.819,1.004.700,204.876,7.615,267.813,24.570,0,0,0,0,0,0,0
2,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1,0,65,1.002.952,1.017.692,207.250,8.114,271.746,23.004,0,0,0,0,0,0,0
8,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,0,63,1.788.042,1.024.315,208.310,8.163,273.873,0,0,0,0,0,0,0,0
1,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1,0,62,944.609,990.669,202.026,7.660,264.151,0,0,0,0,0,0,0,0
4,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.006.092,1.010.462,206.298,7.996,269.601,21.116,0,0,0,0,0,0,0
8,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,0,64,1.603.731,1.037.137,211.171,7.686,277.459,0,0,0,0,0,0,0,0
1,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,0,63,994.479,1.020.995,207.255,8.041,271.507,21.152,0,0,0,0,0,0,0
8,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.759.033,1.014.158,206.654,8.079,270.414,0,0,0,0,0,0,0,0
4,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,0,65,1.042.899,1.042.439,212.001,7.804,278.166,21.196,0,0,0,0,0,0,0
1,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.202.428,1.023.560,208.862,8.386,273.159,0,0,0,0,0,0,0,0
4,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,0,62,974.450,1.003.960,204.663,7.381,267.603,11.442,0,0,0,0,0,0,0
8,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,0,63,1.792.852,1.002.130,203.858,8.233,267.563,0,0,0,0,0,0,0,0
8,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.539.599,1.003.761,204.443,7.984,267.842,0,0,0,0,0,0,0,0
2,for_0_a_100,64,xdpgeneric,0.0.0.255,60,1,0,63,1.173.094,1.012.551,206.038,8.075,270.150,0,0,0,0,0,0,0,0
2,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,0,65,977.720,1.024.250,208.611,7.357,273.311,20.195,0,0,0,0,0,0,0
8,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,0,65,1.898.005,1.047.634,212.649,8.364,278.926,0,0,0,0,0,0,0,0
