time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,3565874,3628181.40,3635028.95,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,302955,10304.46,201973.22,0.0007288857,2,0
2.000,7197252,3629207.08,3633326.40,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,507452,10415.70,202984.00,0.0007293380,2,0
3.000,10828630,3645438.22,3632117.46,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,711998,175428.02,203432.43,0.0007293814,2,0
4.001,14455914,3617446.76,3630852.09,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,916841,0.00,203744.76,0.0007297138,2,0
5.000,18081151,3630939.21,3629833.90,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,1121420,1893298.60,203897.47,0.0007297506,2,0
6.000,21706388,3627092.27,3629106.07,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,1326324,22378.42,204051.47,0.0007298940,2,0
7.001,25331625,3618593.86,3628442.12,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,1531741,12565.09,204232.59,0.0007301061,2,0
8.000,28954815,3605129.56,3627893.52,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,1736759,15098.53,204326.48,0.0007300775,2,0
9.000,32578005,3610071.74,3627464.77,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,1941514,1246519.61,204371.58,0.0007301864,2,0
10.000,36203242,3610262.10,3627166.88,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,2146628,0.00,204441.09,0.0007303296,2,0
11.000,39826432,3622678.34,3626851.55,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,2351760,0.00,204500.91,0.0007304453,2,0
12.000,43449622,3620762.60,3626554.25,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,2556722,15834.75,204538.28,0.0007299672,2,0
13.001,47074859,3615472.90,3626334.88,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,2761652,15319.82,204568.01,0.0007284940,2,0
14.001,50698049,3629527.72,3626106.56,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,2965824,15792.39,204539.83,0.0007271792,2,0
15.000,54321239,3637175.73,3625947.03,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,3170775,639279.45,204567.17,0.0007260417,2,0
16.000,57944429,3632416.04,3625804.86,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,3375543,16927.27,204578.95,0.0007250495,2,0
17.000,61567619,3637433.36,3625694.67,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,3580734,763078.55,204614.27,0.0007241774,2,0
18.000,65192856,3642141.64,3625583.73,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,3785428,15100.80,204618.57,0.0007234166,2,0
19.000,68816046,3610642.87,3625488.92,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,3990257,16096.38,204629.16,0.0007227146,2,0
20.000,72439236,3623381.29,3625395.92,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,4195102,14861.50,204639.43,0.0007220711,2,0
21.001,76064473,3625811.76,3625328.68,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,4400597,651589.79,204679.68,0.0007215239,2,0
