combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
4,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,1,32,1,0,64,1052173,1029050,209204,7974,274508,14737,0,0,0,0,0,0
2,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,0,92,1,0,65,1181297,1032842,210054,7437,275891,0,0,0,0,0,0,0
1,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,27,1,0,65,1006250,1031283,209902,8070,275202,15939,0,0,0,0,0,0
2,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,24,1,0,63,981057,1045129,211693,7236,278335,15492,0,0,0,0,0,0
1,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1008778,1034531,210702,7974,276172,15433,0,0,0,0,0,0
4,for_0_a_800,128,xdpgeneric,0.0.0.255,60,0,81,1,0,64,1437653,1024840,208882,7815,273424,0,0,0,0,0,0,0
1,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1023770,1037026,211333,7927,276981,16044,0,0,0,0,0,0
1,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,1,25,1,0,64,991219,1012598,206373,8060,270112,0,0,0,0,0,0,0
8,for_0_a_1,512,xdpgeneric,0.0.0.255,60,1,60,1,0,62,3255072,2731839,499961,9196,795308,69060,0,0,0,0,0,0
1,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,26,1,0,64,999843,1009058,205470,8087,269183,15391,0,0,0,0,0,0
1,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,29,1,0,65,1023605,1051389,213278,7895,280802,15349,0,0,0,0,0,0
4,for_0_a_100,64,xdpgeneric,0.0.0.255,60,1,30,1,0,64,1029698,1032069,209602,7816,275484,15314,0,0,0,0,0,0
4,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,1,30,1,0,63,1029278,1005095,204316,7589,268278,15544,0,0,0,0,0,0
8,for_0_a_0,64,xdpgeneric,0.0.0.255,60,0,71,1,0,64,1766267,1017731,207319,7906,272031,0,0,0,0,0,0,0
2,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,0,88,1,0,64,1108298,1013591,206687,7291,270148,0,0,0,0,0,0,0
1,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,28,1,0,65,1015254,1027230,208989,7825,274408,15314,0,0,0,0,0,0
1,for_0_a_1,512,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1005821,1012820,206362,7925,270430,14571,0,0,0,0,0,0
1,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,24,1,0,63,985527,1017795,207010,7378,271487,15322,0,0,0,0,0,0
8,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,0,73,1,0,63,1795710,1007488,205186,7654,269313,0,0,0,0,0,0,0
4,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,31,1,0,64,1036585,1007850,205223,7663,268925,15440,0,0,0,0,0,0
8,for_0_a_100,64,xdpgeneric,0.0.0.255,60,0,70,1,0,63,1731444,1017222,207291,7760,271592,0,0,0,0,0,0,0
1,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,1,25,1,0,64,990755,1030092,209234,8043,275057,15576,0,0,0,0,0,0
4,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,8,1,0,64,1487736,1225882,244982,8375,332855,0,0,0,0,0,0,0
8,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,0,76,1,0,64,1882257,1051163,212230,8235,280104,0,0,0,0,0,0,0
8,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,0,75,1,0,63,1849341,1017438,207091,8284,271706,0,0,0,0,0,0,0
1,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,23,1,0,62,978521,1005954,205177,7640,268475,15104,0,0,0,0,0,0
1,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,24,1,0,64,984320,1024906,206984,7761,272664,15507,0,0,0,0,0,0
2,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,17,1,0,64,921342,1027060,208415,7723,273900,0,0,0,0,0,0,0
8,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,0,72,1,0,63,1768103,1008104,205050,7844,269344,0,0,0,0,0,0,0
4,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,0,85,1,0,64,1450266,1015224,207284,7939,270947,0,0,0,0,0,0,0
4,for_0_a_0,64,xdpgeneric,0.0.0.255,60,1,19,1,0,63,2006678,1899836,360110,9094,529753,31781,0,0,0,0,0,0
2,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,7,1,0,64,1543589,1560853,299866,8686,436246,19380,0,0,0,0,0,0
8,for_0_a_200,128,xdpgeneric,0.0.0.255,60,0,75,1,0,64,1861440,1040940,211758,8151,278354,0,0,0,0,0,0,0
2,for_0_a_1,128,xdpgeneric,0.0.0.255,60,1,23,1,0,63,975169,1011590,205760,7204,269841,14665,0,0,0,0,0,0
2,for_0_a_1600,1024,xdpgeneric,0.0.0.255,60,1,28,1,0,63,1006872,1006113,204829,7701,268626,15894,0,0,0,0,0,0
2,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,1,27,1,0,63,1013215,1009311,205288,7643,269338,15229,0,0,0,0,0,0
4,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,1,31,1,0,63,1035972,1016612,206318,8141,271387,15537,0,0,0,0,0,0
8,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,0,79,1,0,63,1947657,1024267,208037,8278,273601,0,0,0,0,0,0,0
1,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,15,1,0,64,906392,1036202,211113,7972,276783,19739,0,0,0,0,0,0
1,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1020334,1026912,208752,8050,273912,16186,0,0,0,0,0,0
1,for_0_a_0,128,xdpgeneric,0.0.0.255,60,0,90,1,0,64,1076671,1027959,208902,7827,274289,0,0,0,0,0,0,0
4,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,28,1,0,64,2319899,1908603,360138,9075,543145,53659,0,0,0,0,0,0
1,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,1,26,1,0,63,1001390,1023365,207699,7901,273040,15328,0,0,0,0,0,0
4,for_0_a_1,256,xdpgeneric,0.0.0.255,60,1,34,1,0,64,1065173,1015484,206898,7907,270807,15534,0,0,0,0,0,0
4,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1,32,1,0,64,1045379,1024922,208057,7785,273354,16256,0,0,0,0,0,0
4,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,33,1,0,64,1051976,1016631,207104,7874,271199,15443,0,0,0,0,0,0
2,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1020997,1035908,211225,7838,276772,14903,0,0,0,0,0,0
8,for_0_a_1,128,xdpgeneric,0.0.0.255,60,0,75,1,0,65,1847425,1018486,206818,8245,272303,0,0,0,0,0,0,0
1,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,32,1,0,66,1041207,1056385,214186,8047,281916,16571,0,0,0,0,0,0
4,for_0_a_3200,256,xdpgeneric,0.0.0.255,60,0,85,1,0,65,1339792,1030252,209440,7789,275073,0,0,0,0,0,0,0
4,for_0_a_1,64,xdpgeneric,0.0.0.255,60,1,29,1,0,63,1021771,1016810,207076,7818,271347,14850,0,0,0,0,0,0
4,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,0,79,1,0,63,1779610,1008179,204843,8051,268935,0,0,0,0,0,0,0
1,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,28,1,0,63,1012192,1025470,207914,8062,272633,17340,0,0,0,0,0,0
1,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,24,1,0,64,978450,1025236,208702,7224,273988,14252,0,0,0,0,0,0
2,for_0_a_400,128,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1019483,1024306,207843,7876,272928,15340,0,0,0,0,0,0
2,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,23,1,0,63,971538,997652,202936,7441,266204,14349,0,0,0,0,0,0
2,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1,12,1,0,63,897450,1013272,206593,7771,270423,0,0,0,0,0,0,0
1,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,1,27,1,0,62,997241,995357,202227,8080,265372,15485,0,0,0,0,0,0
2,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1024013,1028668,209066,7651,274773,14995,0,0,0,0,0,0
1,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,27,1,0,65,1006781,1032233,210051,7919,275745,15222,0,0,0,0,0,0
1,for_0_a_100,64,xdpgeneric,0.0.0.255,60,1,8,1,0,64,1020794,1041367,211849,7496,278208,19180,0,0,0,0,0,0
