combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1022329,1038521,211150,8084,277223,15279,0,0,0,0,0,0
4,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,34,1,0,64,1060401,1026458,208890,7731,274249,15749,0,0,0,0,0,0
4,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1,32,1,0,65,1042045,1016903,207056,7684,271609,16147,0,0,0,0,0,0
2,for_0_a_1,64,xdpgeneric,0.0.0.255,60,1,9,1,0,63,1405877,1438905,280612,8403,394589,0,0,0,0,0,0,0
2,for_0_a_12800,256,xdpgeneric,0.0.0.255,60,1,26,1,0,65,1001247,1031685,209691,7229,275632,14749,0,0,0,0,0,0
8,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,0,74,1,0,64,1818137,1049568,212828,8007,280606,0,0,0,0,0,0,0
1,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1,26,1,0,64,1000705,1016872,207366,8135,271472,15291,0,0,0,0,0,0
4,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,31,1,0,65,1040930,1028027,209350,7919,274635,15126,0,0,0,0,0,0
8,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,0,73,1,0,64,1812054,1030297,209311,8310,275350,0,0,0,0,0,0,0
1,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,17,1,0,65,920165,1039571,210685,7743,277443,20610,0,0,0,0,0,0
8,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,1,1,1,65,1876303,1258954,249313,7828,344542,54502,0,0,0,0,0,0
4,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,31,1,0,63,1037489,1008118,205120,7862,268928,15622,0,0,0,0,0,0
1,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,1,22,1,0,63,964156,1007516,204611,7604,268739,14668,0,0,0,0,0,0
4,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,32,1,0,65,1053333,1049115,212774,8004,279956,15851,0,0,0,0,0,0
8,for_0_a_400,512,xdpgeneric,0.0.0.255,60,0,74,1,0,63,1817671,1036279,210661,8223,276850,0,0,0,0,0,0,0
8,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,0,77,1,0,64,1584932,1025172,208632,8082,273900,0,0,0,0,0,0,0
2,for_0_a_100,64,xdpgeneric,0.0.0.255,60,1,14,1,0,65,1462791,1487559,287873,8772,408386,0,0,0,0,0,0,0
2,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1011776,1018384,207708,7455,271716,14895,0,0,0,0,0,0
8,for_0_a_400,256,xdpgeneric,0.0.0.255,60,0,78,1,0,64,1916770,1020256,206536,7816,271011,0,0,0,0,0,0,0
1,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1,26,1,0,62,999272,1006409,205021,7938,268398,15247,0,0,0,0,0,0
2,for_0_a_0,128,xdpgeneric,0.0.0.255,60,0,91,1,0,63,1168171,1004113,204350,7482,267805,0,0,0,0,0,0,0
4,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,1,6,1,0,62,1149950,1046597,211874,7750,280571,0,0,0,0,0,0,0
2,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1013591,1007303,204941,7797,268774,14384,0,0,0,0,0,0
8,for_0_a_1,256,xdpgeneric,0.0.0.255,60,0,73,1,0,62,1802635,1011458,205794,7961,270140,0,0,0,0,0,0,0
4,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,0,84,1,0,63,1411908,1007732,205108,8012,268764,0,0,0,0,0,0,0
1,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,31,1,0,65,1038111,1027910,209271,8137,274587,16626,0,0,0,0,0,0
2,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,30,1,0,64,1027906,1017165,207083,7938,271466,16507,0,0,0,0,0,0
4,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,25,1,0,64,988203,1036715,211067,8045,276825,17389,0,0,0,0,0,0
8,for_0_a_800,64,xdpgeneric,0.0.0.255,60,0,76,1,0,63,1859574,999376,203475,7861,267104,0,0,0,0,0,0,0
8,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,0,71,1,0,62,1747473,1008918,205865,8119,269523,0,0,0,0,0,0,0
1,for_0_a_0,64,xdpgeneric,0.0.0.255,60,1,24,1,0,63,984840,1013785,206733,8058,270314,16737,0,0,0,0,0,0
8,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,0,77,1,0,64,1905949,1035073,210333,8060,276660,0,0,0,0,0,0,0
2,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,14,1,0,64,894916,1027181,208947,7631,274369,0,0,0,0,0,0,0
4,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,30,1,0,63,1024323,1003728,204434,7970,267785,15801,0,0,0,0,0,0
1,for_0_a_800,128,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1001711,1029366,209363,7820,274977,14692,0,0,0,0,0,0
2,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,31,1,0,64,1040217,1013465,205864,8172,270357,14714,0,0,0,0,0,0
4,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,13,1,0,64,1797137,1410581,276127,8789,389601,24001,0,0,0,0,0,0
4,for_0_a_1,512,xdpgeneric,0.0.0.255,60,1,31,1,0,64,1040489,1005640,204630,7709,268288,15875,0,0,0,0,0,0
1,for_0_a_200,128,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1005575,1025619,208624,7979,273739,15669,0,0,0,0,0,0
2,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1021092,1017614,207127,7973,271576,14948,0,0,0,0,0,0
1,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,28,1,0,65,1014882,1017380,207408,8042,271459,15236,0,0,0,0,0,0
1,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,29,1,0,63,1023322,1018318,207383,7814,271550,15254,0,0,0,0,0,0
1,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1009077,1018070,207592,8133,271429,15145,0,0,0,0,0,0
8,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,0,73,1,0,64,1806188,1023249,207702,8210,272954,0,0,0,0,0,0,0
4,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,0,70,1,0,66,1288497,1036042,210259,8081,276447,0,0,0,0,0,0,0
