time,txpackets,txpacketrateavg,txpacketrate,rxpackets,rxpacketrateavg,rxpacketrate,latencymean,core,port
1.000,15776229,15732841.44,15844347.65,0,0.00,0.00,0.00,1,0
1.500,0,0.00,0.00,2370159,4918032.55,1580183.21,0.01,2,0
2.000,31611821,15777709.26,15839942.38,0,0.00,0.00,0.00,1,0
2.500,0,0.00,0.00,3962474,2222222.21,1585035.19,0.01,2,0
3.000,47443319,15757062.58,15837247.57,0,0.00,0.00,0.00,1,0
3.500,0,0.00,0.00,5557857,2739725.99,1587992.50,0.01,2,0
4.000,63276864,15975961.91,15836353.15,0,0.00,0.00,0.00,1,0
4.500,0,0.00,0.00,7156710,3809523.88,1590405.64,0.01,2,0
5.000,79106315,15884224.41,15834839.63,0,0.00,0.00,0.00,1,0
5.500,0,0.00,0.00,8755800,1851851.75,1591984.81,0.01,2,0
6.000,94935766,15853469.64,15833813.65,0,0.00,0.00,0.00,1,0
6.500,0,0.00,0.00,10353910,3636363.76,1592927.15,0.01,2,0
7.000,110757029,15703874.18,15832265.61,0,0.00,0.00,0.00,1,0
7.500,0,0.00,0.00,11953731,1818181.88,1593846.35,0.01,2,0
8.000,126578292,15824056.89,15830864.06,0,0.00,0.00,0.00,1,0
8.500,0,0.00,0.00,13551857,536193.03,1594349.58,0.01,2,0
9.000,142401602,15800849.09,15829965.94,0,0.00,0.00,0.00,1,0
9.500,0,0.00,0.00,15149136,3278688.37,1594658.16,0.01,2,0
10.000,158222865,15810612.50,15829189.53,0,0.00,0.00,0.00,1,0
10.500,0,0.00,0.00,16748281,1183431.97,1595085.51,0.01,2,0
11.000,174046175,15795971.91,15828525.72,0,0.00,0.00,0.00,1,0
11.500,0,0.00,0.00,18346833,421940.93,1595386.75,0.01,2,0
12.000,189867438,15776493.26,15827915.06,0,0.00,0.00,0.00,1,0
12.500,0,0.00,0.00,19947414,730018.89,1595802.35,0.01,2,0
13.000,205686654,15767986.44,15827358.26,0,0.00,0.00,0.00,1,0
13.500,0,0.00,0.00,21539472,1818181.69,1595525.09,0.01,2,0
14.000,221507917,15844879.64,15826866.32,0,0.00,0.00,0.00,1,0
14.500,0,0.00,0.00,23139831,1818181.88,1595858.45,0.01,2,0
15.000,237329180,15777709.27,15826419.21,0,0.00,0.00,0.00,1,0
15.500,0,0.00,0.00,24740046,1829268.30,1596139.51,0.01,2,0
16.000,253148396,15719551.53,15826005.50,0,0.00,0.00,0.00,1,0
16.500,0,0.00,0.00,26340457,4225352.14,1596398.43,0.01,2,0
17.000,268967612,15810612.50,15825668.28,0,0.00,0.00,0.00,1,0
17.500,0,0.00,0.00,27941505,1760563.39,1596664.00,0.01,2,0
18.000,284786828,15819165.38,15825276.45,0,0.00,0.00,0.00,1,0
18.500,0,0.00,0.00,29541997,3296703.36,1596871.04,0.01,2,0
19.000,300608091,15939884.75,15825030.88,0,0.00,0.00,0.00,1,0
19.500,0,0.00,0.00,31140491,369003.69,1596954.08,0.01,2,0
20.000,316427307,15889156.25,15824735.84,0,0.00,0.00,0.00,1,0
20.500,0,0.00,0.00,32740784,3389830.43,1597117.15,0.01,2,0
21.000,332246523,15869447.24,15824537.72,0,0.00,0.00,0.00,1,0
21.500,0,0.00,0.00,34342130,2234636.87,1597313.74,0.01,2,0
22.000,348065739,15753424.66,15824285.40,0,0.00,0.00,0.00,1,0
22.500,0,0.00,0.00,35941457,418410.04,1597403.21,0.01,2,0
23.000,363889049,15792316.00,15824182.29,0,0.00,0.00,0.00,1,0
23.500,0,0.00,0.00,37530692,638297.88,1597055.48,0.01,2,0
24.000,379708265,15857153.93,15824012.61,0,0.00,0.00,0.00,1,0
24.500,0,0.00,0.00,39130169,386100.38,1597154.52,0.01,2,0
25.000,395529528,15848559.93,15823939.12,0,0.00,0.00,0.00,1,0
25.500,0,0.00,0.00,40730184,175746.93,1597266.69,0.01,2,0
26.000,411350791,15863298.20,15823783.23,0,0.00,0.00,0.00,1,0
26.500,0,0.00,0.00,42332006,1840880.24,1597438.58,0.01,2,0
27.000,427172054,15797190.92,15823702.74,0,0.00,0.00,0.00,1,0
27.500,0,0.00,0.00,43932732,1250000.03,1597558.09,0.01,2,0
28.000,442993317,15846106.20,15823647.75,0,0.00,0.00,0.00,1,0
28.500,0,0.00,0.00,45532238,2366863.94,1597626.48,0.01,2,0
29.000,458812533,15968484.28,15823503.77,0,0.00,0.00,0.00,1,0
29.500,0,0.00,0.00,47134205,629067.26,1597773.56,0.01,2,0
30.000,474631749,15737679.71,15823356.24,0,0.00,0.00,0.00,1,0
30.500,0,0.00,0.00,48736633,344827.59,1597925.96,0.01,2,0
31.000,490450965,15800849.09,15823209.77,0,0.00,0.00,0.00,1,0
31.500,0,0.00,0.00,50337684,760456.26,1598025.43,0.01,2,0
32.000,506270181,15799629.51,15823085.01,0,0.00,0.00,0.00,1,0
32.500,0,0.00,0.00,51939052,1818181.69,1598128.28,0.01,2,0
33.000,522089397,15863298.20,15822969.51,0,0.00,0.00,0.00,1,0
33.500,0,0.00,0.00,53533064,214592.27,1598005.33,0.01,2,0
34.000,537910660,15771631.10,15822898.67,0,0.00,0.00,0.00,1,0
34.500,0,0.00,0.00,55135345,1413427.55,1598129.31,0.01,2,0
35.000,553733970,15815498.72,15822928.88,0,0.00,0.00,0.00,1,0
35.500,0,0.00,0.00,56739136,1242236.05,1598288.83,0.01,2,0
36.000,569555233,15932440.85,15822871.64,0,0.00,0.00,0.00,1,0
36.500,0,0.00,0.00,58345619,766384.78,1598513.24,0.01,2,0
37.000,585376496,15830175.55,15822837.48,0,0.00,0.00,0.00,1,0
37.500,0,0.00,0.00,59952341,1785714.32,1598732.23,0.01,2,0
38.000,601197759,15711105.99,15822808.68,0,0.00,0.00,0.00,1,0
38.500,0,0.00,0.00,61557766,588235.30,1598906.06,0.01,2,0
39.000,617019022,15839975.24,15822764.54,0,0.00,0.00,0.00,1,0
39.500,0,0.00,0.00,63159055,550964.19,1598966.27,0.01,2,0
40.000,632838238,15765557.61,15822677.44,0,0.00,0.00,0.00,1,0
40.500,0,0.00,0.00,64764413,1775147.95,1599124.18,0.01,2,0
41.000,648661548,15839975.24,15822654.85,0,0.00,0.00,0.00,1,0
41.500,0,0.00,0.00,66369626,1090909.08,1599270.85,0.01,2,0
42.000,664482811,15760744.03,15822640.60,0,0.00,0.00,0.00,1,0
42.500,0,0.00,0.00,67973899,387596.90,1599388.54,0.01,2,0
43.000,680304074,15755849.75,15822621.81,0,0.00,0.00,0.00,1,0
